head,class,total_count,dominant_source,dominant_source_percentage,is_source_confounded
domain,FINANCIAL,2022,earnings_21_clean_segments,84.17,False
domain,GENERAL,651,slurp_general_filtered,100.0,True
domain,MEDICAL,989,synthetic_tts,54.6,False
subdomain,GENERAL_TOPIC,373,medical_dialogue_1500,61.39,False
subdomain,HEALTHCARE,607,earnings_21_clean_segments,82.37,False
subdomain,INDUSTRIAL_GOODS,683,earnings_21_clean_segments,87.99,False
subdomain,MEDICAL_SPECIALTY,610,synthetic_tts,64.92,False
subdomain,TECHNOLOGY,732,earnings_21_clean_segments,82.1,False
subdomain,USER_INTERACTION_TYPE,651,slurp_general_filtered,100.0,True
intent,BUSINESS_OPERATIONS_AND_HEALTH,202,earnings_21_clean_segments,100.0,True
intent,BUSINESS_STRATEGY_AND_PROJECT_PLANNING,256,earnings_21_clean_segments,81.25,False
intent,COMMUNICATION_EMAIL_CALL_AND_CONTACTS,161,slurp_general_filtered,51.55,False
intent,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,346,earnings_21_clean_segments,58.38,False
intent,FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,379,earnings_21_clean_segments,86.81,False
intent,FINANCIAL_REPORTING_AND_OUTLOOK,379,earnings_21_clean_segments,84.7,False
intent,GENERAL_ASSISTANCE_AND_QA,214,slurp_general_filtered,52.8,False
intent,MARKET_AND_COMPETITIVE_OUTLOOK,152,earnings_21_clean_segments,71.71,False
intent,MEDIA_ENTERTAINMENT_AND_UTILITY,271,slurp_general_filtered,100.0,True
intent,MEDICAL_ADVICE_AND_TREATMENT,345,medical_dialogue_1500,63.19,False
intent,MEDICAL_SYMPTOM_AND_CONDITION,492,synthetic_tts,71.75,False
intent,MEDICATION_DIAGNOSTICS_AND_CLINICAL_RESEARCH,186,medical_dialogue_1500,46.24,False
intent,PRODUCT_AND_TECHNOLOGY_MANAGEMENT,107,earnings_21_clean_segments,100.0,True
intent,TIME_LOCATION_TRAVEL_AND_LOGISTICS,170,slurp_general_filtered,95.29,True
entity_type,BUSINESS_GOVERNANCE_AND_RELATIONS,71,earnings_21_clean_segments,66.2,False
entity_type,BUSINESS_OPERATIONS_AND_LOGISTICS,195,earnings_21_clean_segments,82.56,False
entity_type,COMMUNICATION_AND_INTERACTION,98,slurp_general_filtered,81.63,False
entity_type,CORPORATE_FINANCIAL_PERFORMANCE,164,earnings_21_clean_segments,78.66,False
entity_type,DIAGNOSTIC_TEST_OR_RESULT,124,medical_dialogue_1500,54.03,False
entity_type,ENTERTAINMENT_AND_MEDIA,80,slurp_general_filtered,97.5,True
entity_type,FINANCIAL_METRICS_DETAIL,494,earnings_21_clean_segments,83.2,False
entity_type,FINANCIAL_STRATEGY_AND_PLANNING,322,earnings_21_clean_segments,77.33,False
entity_type,GENERAL_BUSINESS_ADMINISTRATION,241,slurp_general_filtered,66.8,False
entity_type,GENERAL_INFORMATION_AND_MISCELLANEOUS,292,slurp_general_filtered,66.44,False
entity_type,MARKET_AND_INDUSTRY_ANALYSIS,264,earnings_21_clean_segments,81.44,False
entity_type,MEDICAL_CONDITION_OR_CLINICAL_STATE,192,medical_dialogue_1500,50.52,False
entity_type,MEDICAL_SYMPTOM,417,synthetic_tts,62.83,False
entity_type,MEDICATION_OR_DRUG,116,medical_dialogue_1500,42.24,False
entity_type,PERSONAL_AND_DAILY_LIFE,31,slurp_general_filtered,80.65,False
entity_type,PRODUCT_AND_SERVICE_MANAGEMENT,48,earnings_21_clean_segments,100.0,True
entity_type,REGULATORY_AND_ENVIRONMENTAL_CONTEXT,45,slurp_general_filtered,51.11,False
entity_type,SALES_AND_CUSTOMER_ENGAGEMENT,105,earnings_21_clean_segments,87.62,False
entity_type,TECHNOLOGY_AND_DIGITAL_INFRASTRUCTURE,149,earnings_21_clean_segments,56.38,False
entity_type,TREATMENT_OR_HEALTHCARE,195,synthetic_tts,46.15,False
urgency,CRITICAL,436,synthetic_tts,98.62,True
urgency,HIGH,513,synthetic_tts,83.82,False
urgency,LOW,871,earnings_21_clean_segments,89.21,False
urgency,MEDIUM,1191,earnings_21_clean_segments,75.65,False
emotion,ANGER,257,meld_balanced_1050,58.37,False
emotion,DISGUST,150,meld_balanced_1050,100.0,True
emotion,FEAR,579,synthetic_tts,74.09,False
emotion,JOY,150,meld_balanced_1050,100.0,True
emotion,NEUTRAL,366,synthetic_tts,59.02,False
emotion,SADNESS,150,meld_balanced_1050,100.0,True
emotion,SURPRISE,258,meld_balanced_1050,58.14,False
