audio_path,domain,subdomain,intent,entity_type,urgency,emotion,transcript,original_domain,original_subdomain,original_intent,original_entity_type,original_urgency,original_emotion
meld_balanced_1050/anger_dia853_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,What?!  What the hell?!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia328_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Because Im not going to spend one more day with someone whose out to sabotage my every move.,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia46_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Come on apartment! Come on apartment!  Oh! I know queen is high!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia679_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,And-and thats only cause its right there when you turn it on!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia704_utt1.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia596_utt20.flac,MASK,MASK,MASK,MASK,MASK,ANGER,The judge wouldnt let us get an annulment! Now we gotta get a divorce!! Did a Porsch throw up on you?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia955_utt5.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Great. So the ball is in his court?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia81_utt13.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Yuh-huh!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia407_utt6.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Hey, no way, I'm in the shot man.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia770_utt16.flac,MASK,MASK,MASK,MASK,MASK,ANGER,What did you say?,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia498_utt7.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Dont laugh at him!,MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia431_utt14.flac,MASK,MASK,MASK,MASK,MASK,ANGER,"Well, I'm gonna go home and bask in the triumph of my Central Park idea.",MASK,MASK,MASK,MASK,MASK,anger
meld_balanced_1050/anger_dia438_utt0.flac,MASK,MASK,MASK,MASK,MASK,ANGER,Ow!,MASK,MASK,MASK,MASK,MASK,anger
