sample_id,scenario_id,split,domain,reference_transcript,controlled_transcript,error_injected,error_type,source_term,replacement_term,replacement_similarity,error_location,controlled_S,controlled_D,controlled_I,controlled_N,controlled_WER,transcript_changed
nlu_0179_03,S0179,train,medical,"The current available evidence requires further review, especially in relation to the relationship between atorvastatin and statin; during the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers statin.","The current available evidence requires further review, especially in relation to the relationship between atherosclerotic and statin; during the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers statin.",1,domain_term_phonetic_semantic_substitution,atorvastatin,atherosclerotic,0.5722222222222222,single_domain_term,1,0,0,35,0.02857142857142857,1
nlu_0392_08,S0392,train,legal,"The case involves the reported concern involving defendant, and the relevant relevant records is being assessed; as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.","The case involves the reported concern involving defendant, and the relevant relevant records is being assessed; as part of the current review, the technical or professional team, while comparing the available options. The record specifically representations defendant.",1,domain_term_phonetic_semantic_substitution,references,representations,0.6037142857142856,single_domain_term,1,0,0,37,0.02702702702702703,1
nlu_0023_02,S0023,train,medical,"The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue; as part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.","The team is evaluating coronary artery disease in the context of atorvastatin plaque, with particular attention to the reported issue; as part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.",1,domain_term_phonetic_semantic_substitution,atherosclerotic,atorvastatin,0.5722222222222222,single_domain_term,1,0,0,41,0.024390243902439025,1
nlu_0214_06,S0214,train,finance,"The available evidence was considered before deciding how to address the current status of mortgage underwriting; at the current stage, the responsible specialist, while considering the current evidence.","The available evidence was considered before deciding how to address the current status of mortgage underlying; at the current stage, the responsible specialist, while considering the current evidence.",1,domain_term_phonetic_semantic_substitution,underwriting,underlying,0.7378787878787879,single_domain_term,1,0,0,28,0.03571428571428571,1
nlu_0523_05,S0523,train,general,"Can you tell me how to ask about a delivery, given after the latest information became available, the person handling the matter, after the latest information was reviewed?","Can you tell me how to ask about a delivery, given after the latest information became available, the person handling the matter, after the latest information was reminder?",1,domain_term_phonetic_semantic_substitution,reviewed,reminder,0.5472222222222222,single_domain_term,1,0,0,28,0.03571428571428571,1
nlu_0117_09,S0117,train,medical,"The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes; during the latest review, the assigned professional, during the present round of discussion.","The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the activated observed changes; during the latest review, the assigned professional, during the present round of discussion.",1,domain_term_phonetic_semantic_substitution,associated,activated,0.5912280701754385,single_domain_term,1,0,0,34,0.029411764705882353,1
nlu_0088_10,S0088,train,medical,"Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction; during the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.","Further catheterization is needed before a final decision is made about the decision surrounding diffusion restriction; during the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.",1,domain_term_phonetic_semantic_substitution,authorization,catheterization,0.7035714285714285,single_domain_term,1,0,0,36,0.027777777777777776,1
nlu_0016_07,S0016,train,medical,"The latest analysis focused on the evidence related to ventricular response; following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.","The latest analysis focused on the evidence related to ventricular response; following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fraction.",1,domain_term_phonetic_semantic_substitution,fibrillation,fraction,0.6086363636363636,single_domain_term,1,0,0,30,0.03333333333333333,1
nlu_0166_08,S0166,validation,medical,"The case involves the reported concern involving warfarin, and the relevant relevant records is being assessed; after the latest information became available, the current reviewer, while comparing the available options. The record specifically references warfarin.","The case involves the reported concern involving warfarin, and the relevant relevant records is being assessed; after the latest information became available, the current reviewer, while comparing the available options. The record specifically restriction warfarin.",1,domain_term_phonetic_semantic_substitution,references,restriction,0.514102564102564,single_domain_term,1,0,0,35,0.02857142857142857,1
nlu_0033_04,S0033,unseen,medical,"A detailed validation was requested concerning the implications of troponin; as part of the current review, the relevant team, during the present round of discussion.","A detailed validation was requested concerning the thromboplastin of troponin; as part of the current review, the relevant team, during the present round of discussion.",1,domain_term_phonetic_semantic_substitution,implications,thromboplastin,0.48257918552036194,single_domain_term,1,0,0,25,0.04,1
nlu_0531_03,S0531,train,general,"Please help me confirm a meeting; this is after the latest information became available, the case team, during the present round of discussion.","Please help me confirm a meeting; this is after the latest information became available, the case team, during the personal round of discussion.",1,domain_term_phonetic_semantic_substitution,present,personal,0.5866666666666667,single_domain_term,1,0,0,23,0.043478260869565216,1
nlu_0262_02,S0262,train,finance,"The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue; as part of the current review, the reviewing organization, while considering the current evidence. The record specifically references portfolio allocation.","The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue; as part of the current review, the reviewing transaction, while considering the current evidence. The record specifically references portfolio allocation.",1,domain_term_phonetic_semantic_substitution,organization,transaction,0.5511705685618729,single_domain_term,1,0,0,39,0.02564102564102564,1
nlu_0082_02,S0082,unseen,medical,"The team is evaluating cerebral infarction in the context of diffusion restriction, with particular attention to the reported issue; during the latest review, the reviewing group, while considering the current evidence. The record specifically references cerebral infarction.","The team is evaluating cerebral infarction in the context of diffusion resting, with particular attention to the reported issue; during the latest review, the reviewing group, while considering the current evidence. The record specifically references cerebral infarction.",1,domain_term_phonetic_semantic_substitution,restriction,resting,0.7166666666666667,single_domain_term,1,0,0,37,0.02702702702702703,1
nlu_0040_04,S0040,train,medical,"A detailed case was requested concerning the implications of troponin; during the latest review, the assigned professional, while considering the current evidence.","A detailed case was requested concerning the thromboplastin of troponin; during the latest review, the assigned professional, while considering the current evidence.",1,domain_term_phonetic_semantic_substitution,implications,thromboplastin,0.48257918552036194,single_domain_term,1,0,0,22,0.045454545454545456,1
nlu_0360_04,S0360,train,legal,"A detailed case was requested concerning the implications of material breach; at the current stage, the person handling the matter, while comparing the available options.","A detailed case was requested concerning the indemnification of material breach; at the current stage, the person handling the matter, while comparing the available options.",1,domain_term_phonetic_semantic_substitution,implications,indemnification,0.5,single_domain_term,1,0,0,25,0.04,1
nlu_0264_09,S0264,train,finance,"The professional handling the matter is reviewing the effect of diversification on the overall situation and the associated observed changes; as part of the current review, the relevant team, after the latest information was reviewed.","The professional handling the matter is reviewing the effect of verification on the overall situation and the associated observed changes; as part of the current review, the relevant team, after the latest information was reviewed.",1,domain_term_phonetic_semantic_substitution,diversification,verification,0.7396825396825396,single_domain_term,1,0,0,35,0.02857142857142857,1
nlu_0219_08,S0219,train,finance,"The case involves the reported concern involving mortgage underwriting, and the relevant relevant records is being assessed; during the most recent assessment, the technical or professional team, before the next decision. The record specifically references mortgage underwriting.","The case involves the reported concern involving mortgage underlying, and the relevant relevant records is being assessed; during the most recent assessment, the technical or professional team, before the next decision. The record specifically references mortgage underwriting.",1,domain_term_phonetic_semantic_substitution,underwriting,underlying,0.7378787878787879,single_domain_term,1,0,0,37,0.02702702702702703,1
nlu_0536_02,S0536,train,general,"Could you help me with check a booking? This is at the current stage, the reviewing group, while comparing the available options.","Could you help me with check a opening? This is at the current stage, the reviewing group, while comparing the available options.",1,domain_term_phonetic_semantic_substitution,booking,opening,0.48571428571428565,single_domain_term,1,0,0,22,0.045454545454545456,1
nlu_0032_10,S0032,train,medical,"Further review is needed before a final decision is made about the decision surrounding ischemic pattern; during the most recent assessment, the relevant team, while comparing the available options. The record specifically references ST-segment elevation.","Further review is needed before a final decision is made about the decision surrounding ischemic pattern; during the most recent assessment, the relevant team, while comparing the available options. The record specifically warfarin ST-segment elevation.",1,domain_term_phonetic_semantic_substitution,references,warfarin,0.5191919191919192,single_domain_term,1,0,0,36,0.027777777777777776,1
nlu_0017_08,S0017,train,medical,"The case involves the reported concern involving coronary artery disease, and the relevant relevant records is being assessed; during the ongoing evaluation, the assigned professional, while comparing the available options. The record specifically references coronary artery disease.","The case involves the reported concern involving coronary artery disease, and the relevant relevant records is being assessed; during the ongoing evaluation, the assigned professional, while comparing the available options. The record specifically warfarin coronary artery disease.",1,domain_term_phonetic_semantic_substitution,references,warfarin,0.5191919191919192,single_domain_term,1,0,0,37,0.02702702702702703,1
nlu_0075_07,S0075,train,medical,"The latest review focused on the evidence related to focal neurological deficit; as part of the current review, the current reviewer, before the matter is finalized. The discussion also considers cerebral infarction.","The latest review focused on the evidence related to focal neuropathy deficit; as part of the current review, the current reviewer, before the matter is finalized. The discussion also considers cerebral infarction.",1,domain_term_phonetic_semantic_substitution,neurological,neuropathy,0.5075757575757576,single_domain_term,1,0,0,32,0.03125,1
nlu_0548_01,S0548,validation,general,"I need help with change a reservation, at the current stage, the assigned professional, while considering the current evidence.","I need help with change a request, at the current stage, the assigned professional, while considering the current evidence.",1,domain_term_phonetic_semantic_substitution,reservation,request,0.6055555555555555,single_domain_term,1,0,0,19,0.05263157894736842,1
nlu_0371_08,S0371,unseen,legal,"The case involves the reported concern involving termination provision, and the relevant relevant records is being assessed; in the current round of review, the person handling the matter, before the next decision. The record specifically references termination provision.","The case involves the reported concern involving testimony provision, and the relevant relevant records is being assessed; in the current round of review, the person handling the matter, before the next decision. The record specifically references termination provision.",1,domain_term_phonetic_semantic_substitution,termination,testimony,0.61,single_domain_term,1,0,0,38,0.02631578947368421,1
nlu_0277_05,S0277,unseen,finance,"The specialist discussed the documented issue involving P/E during the latest review; after the recent update, the relevant team, before the next decision. The record specifically references price-to-earnings ratio.","The specialist discussed the documented issue involving P/E during the latest review; after the recent update, the relevant team, before the next decision. The record specifically return price-to-earnings ratio.",1,domain_term_phonetic_semantic_substitution,references,return,0.625,single_domain_term,1,0,0,32,0.03125,1
nlu_0512_03,S0512,unseen,general,"Please help me plan a trip; this is in the current round of review, the reviewing organization, before the next decision.","Please help me plan a trip; this is in the current round of review, the reviewing organization, before the next directions.",1,domain_term_phonetic_semantic_substitution,decision,directions,0.5333333333333333,single_domain_term,1,0,0,21,0.047619047619047616,1
nlu_0401_07,S0401,train,legal,"The latest record focused on the evidence related to sworn statement; at the current stage, the person handling the matter, before the next decision. The discussion also considers witness testimony.","The latest record focused on the evidence related to sworn statement; at the current stage, the person handling the matter, before the next decision. The discussion also confidential witness testimony.",1,domain_term_phonetic_semantic_substitution,considers,confidential,0.5807692307692308,single_domain_term,1,0,0,30,0.03333333333333333,1
nlu_0188_02,S0188,train,medical,"The team is evaluating levothyroxine in the context of TSH, with particular attention to the reported issue; following the previous discussion, the current reviewer, before the matter is finalized. The record specifically references levothyroxine.","The team is evaluating elevation in the context of TSH, with particular attention to the reported issue; following the previous discussion, the current reviewer, before the matter is finalized. The record specifically references levothyroxine.",1,domain_term_phonetic_semantic_substitution,levothyroxine,elevation,0.49242424242424243,single_domain_term,1,0,0,34,0.029411764705882353,1
nlu_0576_07,S0576,train,general,"I would like to check a booking; the situation is during the latest review, the responsible specialist, before the next decision.","I would like to check a booking; the situation is during the latest review, the reschedule specialist, before the next decision.",1,domain_term_phonetic_semantic_substitution,responsible,reschedule,0.5474358974358975,single_domain_term,1,0,0,21,0.047619047619047616,1
nlu_0320_04,S0320,train,legal,"A detailed case was requested concerning the implications of confidentiality clause; as part of the current review, the decision-making group, after the latest information was reviewed.","A detailed case was requested concerning the implications of contractual clause; as part of the current review, the decision-making group, after the latest information was reviewed.",1,domain_term_phonetic_semantic_substitution,confidentiality,contractual,0.5615384615384615,single_domain_term,1,0,0,27,0.037037037037037035,1
nlu_0376_05,S0376,train,legal,"The specialist discussed the documented issue involving termination right during the latest assessment; at the next decision point, the assigned professional, before the next decision. The record specifically references termination provision.","The specialist discussed the documented issue involving testimony right during the latest assessment; at the next decision point, the assigned professional, before the next decision. The record specifically references termination provision.",1,domain_term_phonetic_semantic_substitution,termination,testimony,0.61,single_domain_term,1,0,0,31,0.03225806451612903,1
