sample_id,domain,error_type,split,clean_domain_mismatch,clean_subdomain_mismatch,clean_topic_mismatch,clean_document_mismatch,clean_total_mismatches,err_domain_mismatch,err_subdomain_mismatch,err_topic_mismatch,err_document_mismatch,err_total_mismatches
nlu_0179_03,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0392_08,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0023_02,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,0,2
nlu_0214_06,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0523_05,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0117_09,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0088_10,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0016_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0166_08,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,1,1
nlu_0033_04,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,1,1,2,0,1,1,1,3
nlu_0531_03,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0262_02,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0082_02,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,1,0,1,0,0,1,0,1
nlu_0040_04,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,0,2
nlu_0360_04,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0264_09,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,1,3
nlu_0219_08,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0536_02,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0032_10,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,1,3
nlu_0017_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0075_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0548_01,general,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0371_08,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0277_05,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0512_03,general,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0401_07,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0188_02,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0576_07,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0320_04,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0376_05,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0563_06,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0490_05,technology,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,1,0,1
nlu_0411_03,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0127_02,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,1,0,0,1
nlu_0234_09,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,0,1,1,0,0,1,1,2
nlu_0009_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0383_02,legal,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0266_04,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0555_06,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0275_07,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,1,1
nlu_0286_09,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0100_07,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,1,0,1
nlu_0023_09,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0327_05,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0483_09,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0395_03,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0546_10,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0384_03,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0166_03,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,1,1
nlu_0008_10,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0097_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0093_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,0,2
nlu_0080_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,0,0,1
nlu_0338_10,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0317_05,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0466_08,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0332_02,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0394_05,legal,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0108_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0485_01,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0419_04,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0203_05,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0568_08,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0464_05,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0175_06,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,1,1,1,3
nlu_0315_04,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0327_04,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0313_02,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0146_02,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0044_10,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0332_07,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0455_04,technology,domain_term_phonetic_semantic_substitution,validation,0,0,1,1,2,0,0,1,1,2
nlu_0299_02,finance,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0209_01,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0403_01,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0146_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0026_05,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,1,1,1,3
nlu_0047_06,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,1,1,2
nlu_0212_08,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0051_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,1,3
nlu_0428_02,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0429_09,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0422_04,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0024_04,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,1,3
nlu_0056_04,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,1,3
nlu_0532_05,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0055_05,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,1,1,0,2
nlu_0371_01,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0355_01,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0279_09,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0287_05,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0209_04,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0555_03,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0031_09,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,1,1,0,1,1,1,3
nlu_0072_01,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,1,1
nlu_0411_04,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,1,0,1,0,0,1,0,1
nlu_0159_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0132_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0063_06,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0003_04,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,1,1,3
nlu_0254_02,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0188_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0512_01,general,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0349_09,legal,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,1,0,1
nlu_0118_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0475_06,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0212_09,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0302_09,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0120_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0225_06,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,1,0,1,0,0,1,0,1
nlu_0288_04,finance,domain_term_phonetic_semantic_substitution,validation,0,0,0,1,1,0,0,0,1,1
nlu_0564_10,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0255_10,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0316_05,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0010_04,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,1,1,1,3
nlu_0208_08,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0047_10,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0079_08,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,1,0,0,1
nlu_0170_10,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0184_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0307_04,finance,domain_term_phonetic_semantic_substitution,validation,0,0,1,1,2,0,0,1,1,2
nlu_0171_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0397_08,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0387_03,legal,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,1,1
nlu_0367_05,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0590_02,general,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0321_05,legal,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,1,1
nlu_0061_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0495_03,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0156_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0471_09,technology,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0484_05,technology,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0319_06,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0439_07,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0159_07,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0312_10,finance,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,0,0,0
nlu_0340_10,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0041_02,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0004_02,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0149_04,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0269_01,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,1,1
nlu_0060_10,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0315_10,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0555_05,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0187_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0057_06,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,0,1,0,1
nlu_0222_04,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0197_07,finance,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,1,1,1,3
nlu_0087_06,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0461_08,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0246_01,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0570_03,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0082_03,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0148_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0474_05,technology,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,1,1
nlu_0228_02,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0104_09,medical,domain_term_phonetic_semantic_substitution,unseen,0,0,1,0,1,0,0,1,0,1
nlu_0453_07,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0009_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0121_05,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0329_06,legal,domain_term_phonetic_semantic_substitution,validation,0,1,1,0,2,0,1,1,0,2
nlu_0155_06,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0018_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0259_06,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,1,0,1,2
nlu_0600_03,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0487_04,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0144_09,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0030_07,medical,domain_term_phonetic_semantic_substitution,validation,0,0,0,0,0,0,1,1,1,3
nlu_0362_06,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,1,2
nlu_0365_08,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0016_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,1,0,1
nlu_0103_08,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0042_01,medical,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0396_09,legal,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0594_08,general,domain_term_phonetic_semantic_substitution,unseen,0,0,0,0,0,0,0,0,0,0
nlu_0496_07,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0476_07,technology,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0545_08,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0219_02,finance,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
nlu_0581_09,general,domain_term_phonetic_semantic_substitution,train,0,0,0,0,0,0,0,0,0,0
