sample_id,scenario_id,split,paraphrase_id,transcript,domain_label,subdomain_label,topic_label,document_type_label,target_term,target_source,term_char_start,term_char_end,target_domain,noise_strategy,recommended_noise_type,recommended_snr_db,recommended_corruption_duration,keep_original_audio,note,target_terms,target_term_count,target_sources,target_selection_logic
nlu_0179_03,S0179,train,3,"The current available evidence requires further review, especially in relation to the relationship between atorvastatin and statin; during the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers statin.",medical,pharmacology,atorvastatin,medication reconciliation,atorvastatin,topic_label,107,119,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,atorvastatin; statin,2,atorvastatin:topic; statin:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0392_08,S0392,train,8,"The case involves the reported concern involving defendant, and the relevant relevant records is being assessed; as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.",legal,litigation,defendant,court case,defendant,topic_label,49,58,legal,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,defendant,1,defendant:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0023_02,S0023,train,2,"The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue; as part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.",medical,cardiology,coronary artery disease,cardiac imaging report,coronary artery disease,topic_label,23,46,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,coronary artery disease; atherosclerotic,2,coronary artery disease:topic; atherosclerotic:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0214_06,S0214,train,6,"The available evidence was considered before deciding how to address the current status of mortgage underwriting; at the current stage, the responsible specialist, while considering the current evidence.",finance,banking,mortgage underwriting,loan application,mortgage underwriting,topic_label,91,112,finance,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,mortgage underwriting,1,mortgage underwriting:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0523_05,S0523,train,5,"Can you tell me how to ask about a delivery, given after the latest information became available, the person handling the matter, after the latest information was reviewed?",general,NONE,NONE,NONE,delivery,domain_specific_lexical_fallback,35,43,general,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,,0,,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0117_09,S0117,train,9,"The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes; during the latest review, the assigned professional, during the present round of discussion.",medical,neurology,multiple sclerosis,MRI brain report,demyelinating,domain_specific_lexical_fallback,64,77,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,demyelinating; lesion,2,demyelinating:domain_lexical; lesion:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0088_10,S0088,train,10,"Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction; during the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.",medical,neurology,cerebral infarction,MRI brain report,cerebral infarction,topic_label,255,274,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,cerebral infarction; diffusion,2,cerebral infarction:topic; diffusion:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0016_07,S0016,train,7,"The latest analysis focused on the evidence related to ventricular response; following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.",medical,cardiology,atrial fibrillation,ECG interpretation,atrial fibrillation,topic_label,213,232,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,atrial fibrillation; ventricular,2,atrial fibrillation:topic; ventricular:domain_lexical,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0166_08,S0166,validation,8,"The case involves the reported concern involving warfarin, and the relevant relevant records is being assessed; after the latest information became available, the current reviewer, while comparing the available options. The record specifically references warfarin.",medical,pharmacology,warfarin,anticoagulation plan,warfarin,topic_label,49,57,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,warfarin,1,warfarin:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
nlu_0033_04,S0033,unseen,4,"A detailed validation was requested concerning the implications of troponin; as part of the current review, the relevant team, during the present round of discussion.",medical,cardiology,troponin,cardiology consultation,troponin,topic_label,67,75,medical,localized_audio_corruption,band_limited_noise_or_speech_shaped_noise,0 to 6 dB,"entire target term span, with 20-40 ms fade in/out",yes,Target term selected for localized acoustic corruption; actual ASR error must be measured after Whisper decoding.,troponin,1,troponin:topic,topic/subdomain labels when lexically present + high domain-concentration terms; max 5
