sample_id,scenario_id,split,target_term,selected_snr_db,clean_transcript,corrupted_whisper_transcript,corruption_category,most_unstable_voice_head,most_unstable_text_head,domain_label,voice_domain,voice_domain_prob,voice_domain_margin,voice_domain_entropy,voice_domain_correct,text_domain,text_domain_prob,text_domain_margin,text_domain_entropy,text_domain_correct,js_domain,l1_domain,subdomain_label,voice_subdomain,voice_subdomain_prob,voice_subdomain_margin,voice_subdomain_entropy,voice_subdomain_correct,text_subdomain,text_subdomain_prob,text_subdomain_margin,text_subdomain_entropy,text_subdomain_correct,js_subdomain,l1_subdomain,topic_label,voice_topic,voice_topic_prob,voice_topic_margin,voice_topic_entropy,voice_topic_correct,text_topic,text_topic_prob,text_topic_margin,text_topic_entropy,text_topic_correct,js_topic,l1_topic,document_type_label,voice_document_type,voice_document_type_prob,voice_document_type_margin,voice_document_type_entropy,voice_document_type_correct,text_document_type,text_document_type_prob,text_document_type_margin,text_document_type_entropy,text_document_type_correct,js_document_type,l1_document_type
nlu_0380_06,S0380,unseen,plaintiff,0,,"The available evidence was considered before deciding how to address the current status of Plaintiff. As part of the current review, the relevant team, while comparing the available options.",NO_MEANINGFUL_ASR_ERROR,domain,subdomain,legal,legal,0.84644854,0.7540421,0.84288436,True,legal,0.9415723,0.9158434,0.4170132,True,0.013470635,0.1902475,None,litigation,0.8486566,0.7629225,0.92610455,False,litigation,0.8274598,0.673318,0.79470754,False,0.013097764,0.13681543,None,plaintiff,0.9923497,0.9890321,0.085106134,False,plaintiff,0.982001,0.97274804,0.16559003,False,0.005913462,0.03152648,None,pleading,0.7831254,0.6629872,1.1002855,False,pleading,0.7786061,0.66387135,1.2111849,False,0.035038833,0.15461664
nlu_0033_06,S0033,unseen,troponin,0,,"The available evidence was considered before deciding how to address the current status of traffic. As part of the current review, the relevant team during the present round of discussion.",BOTH_DEGRADED,subdomain,domain,medical,medical,0.87777907,0.79669607,0.69887054,True,legal,0.48200163,0.10785133,1.6518102,False,0.44536683,1.6822493,None,neurology,0.4064939,0.08967936,2.1152756,False,litigation,0.6024473,0.4617346,1.8664812,False,0.48567086,1.716693,None,neuropathy,0.9463918,0.9270373,0.45359343,False,jurisdiction,0.9282477,0.87433255,0.45411915,False,0.6798059,1.99167,None,neurological examination,0.46920866,0.18663943,2.1072307,False,deployment incident,0.3088173,0.09129535,3.0112808,False,0.64222765,1.9516939
nlu_0167_07,S0167,unseen,anticoagulation,0,,"The latest account focused on the evidence related to INR. During the ongoing evaluation, the case team, before the matter is finalized. The discussion also considers anti-collagulation.",BOTH_DEGRADED,topic,subdomain,medical,medical,0.9284626,0.8969868,0.48923463,True,medical,0.86927605,0.78650945,0.74897885,True,0.007037061,0.120318055,None,pharmacology,0.6791625,0.50235355,1.5082653,False,pharmacology,0.4417459,0.16031411,1.9514463,False,0.048837904,0.50855076,None,warfarin,0.49142322,0.07854825,1.6097817,False,amoxicillin,0.46709657,0.06679481,1.6086633,False,0.6743125,1.9840996,None,anticoagulation plan,0.8818296,0.83610696,0.7928379,False,dose adjustment,0.34439307,0.042825848,2.3617022,False,0.29529792,1.4090425
nlu_0167_06,S0167,unseen,warfarin,0,,"The available evidence was considered before deciding how to address the current status of War 4. During the ongoing evaluation, the case team, before the matter is finalized.",BOTH_DEGRADED,subdomain,document_type,medical,medical,0.65371543,0.47314864,1.4996867,True,legal,0.6196237,0.42957646,1.584607,False,0.19343206,1.1247162,None,neurology,0.35164216,0.089417815,2.5231357,False,litigation,0.51559156,0.31187388,1.9350127,False,0.3493669,1.4572091,None,neuropathy,0.6129087,0.262564,1.2364429,False,termination provision,0.39621606,0.08194199,2.1668627,False,0.68281007,1.9824712,None,anticoagulation plan,0.5122227,0.051160783,1.1872927,False,agreement,0.2740539,0.10554412,3.214761,False,0.6809949,1.9861186
nlu_0380_03,S0380,unseen,plaintiff,0,,"The current available evidence requires further analysis, especially in relation to the relationship between plaintiff and claim. As part of the current review, the relevant team, while comparing the available options. The discussion also considers claim.",NO_MEANINGFUL_ASR_ERROR,subdomain,document_type,legal,legal,0.91158235,0.87074786,0.5688662,True,legal,0.94087076,0.9157832,0.42160174,True,0.0019105329,0.05930197,None,litigation,0.844477,0.71169806,0.7770005,False,litigation,0.8345004,0.6879539,0.77964646,False,0.0011749204,0.033455305,None,plaintiff,0.87753814,0.7935653,0.70399094,False,plaintiff,0.98777956,0.983495,0.121191025,False,0.03770402,0.23302075,None,pleading,0.9499372,0.90993744,0.32757065,False,pleading,0.69534886,0.5271038,1.4476665,False,0.070202105,0.50980765
nlu_0160_04,S0160,unseen,azithromycin,0,,"A detailed case was requested concerning the implications of azithromycin. After the recent update, the decision-making group, after the latest information was reviewed.",NO_MEANINGFUL_ASR_ERROR,subdomain,subdomain,medical,medical,0.85956955,0.80634946,0.8533474,True,medical,0.9732852,0.96243286,0.22395438,True,0.025949355,0.22743125,None,neurology,0.42074493,0.042648107,1.9259884,False,pharmacology,0.7089315,0.54988945,1.2255154,False,0.0976597,0.7747606,None,vector database,0.46563947,0.08281848,1.759183,False,azithromycin,0.99187523,0.98930806,0.08695928,False,0.68839633,1.9928012,None,anticoagulation plan,0.7427444,0.6623274,1.492595,False,prescription,0.9662814,0.94927603,0.2656689,False,0.6344925,1.9328778
nlu_0301_09,S0301,unseen,hedging,0,,"The professional handling the matter is reviewing the effect of heading strategy on the overall situation and the associated observed changes. At the next decision point, the current reviewer, while considering the current evidence.",BOTH_DEGRADED,subdomain,subdomain,finance,finance,0.59461236,0.31767043,1.5097375,True,medical,0.6111528,0.44605178,1.6171795,False,0.3168703,1.3448969,None,software_engineering,0.42576614,0.1681357,2.038804,False,neurology,0.20918652,0.022919536,2.7664945,False,0.2734792,1.30279,None,derivative hedge,0.36197245,0.16595057,2.5227907,False,equity valuation,0.34171578,0.12893355,2.6486938,False,0.4891993,1.55,None,architecture review,0.62397367,0.5285057,2.0270293,False,cardiac imaging report,0.41333112,0.20023222,2.7579942,False,0.4124098,1.527294
nlu_0176_09,S0176,unseen,statin,0,,"The professional handling the matter is reviewing the effect of statin on the overall situation and the associated observed changes. After the recent update, the case team, before the matter, is finalized.",NO_MEANINGFUL_ASR_ERROR,subdomain,subdomain,medical,medical,0.84080994,0.73739946,0.8658164,True,medical,0.9704525,0.9597822,0.24432518,True,0.03234589,0.25928506,None,pharmacology,0.53320205,0.33900505,2.056278,False,pharmacology,0.68653274,0.5118557,1.2705063,False,0.041321497,0.30666134,None,heparin,0.60893303,0.35655546,1.6957308,False,atorvastatin,0.98572737,0.97967684,0.13722244,False,0.6634645,1.9749202,None,investment memo,0.92360264,0.8925785,0.5384421,False,medication reconciliation,0.6221224,0.40117586,1.4955646,False,0.60897326,1.8709431
nlu_0033_08,S0033,unseen,troponin,0,,"The case involves the reported concern involving troponin and the relevant relevant records is being assessed, as part of the current review, the relevant team, during the present round of discussion. The record specifically references troponin.",NO_MEANINGFUL_ASR_ERROR,subdomain,subdomain,medical,medical,0.98245025,0.9739669,0.15718353,True,medical,0.97163254,0.9618577,0.23652157,True,0.0010500657,0.021635307,None,cardiology,0.51542884,0.19575015,1.5351416,False,cardiology,0.6351102,0.450648,1.4096061,False,0.012559394,0.27128094,None,troponin,0.69592744,0.5627389,1.5215375,False,troponin,0.9940394,0.9909058,0.06400265,False,0.114822224,0.5978904,None,cardiology consultation,0.79975647,0.7128035,1.1398437,False,cardiology consultation,0.80283624,0.63991964,0.9282933,False,0.09779652,0.3462473
nlu_0164_06,S0164,unseen,warfarin,0,,"The available evidence was considered before deciding how to address the current status of war-proofing. Following the previous discussion, the decision-making group, before the matter is finalized.",BOTH_DEGRADED,subdomain,document_type,medical,medical,0.39440152,0.16930932,2.0176487,True,legal,0.8537372,0.77819324,0.83849365,False,0.22955619,1.2572899,None,neurology,0.34876442,0.045845717,2.4334226,False,contracts,0.6245292,0.30439097,1.3204415,False,0.46243024,1.693872,None,derivative hedge,0.41696757,0.19932993,2.3599153,False,termination provision,0.9668105,0.94513327,0.26417282,False,0.6919775,1.9988143,None,neurological examination,0.7653088,0.6611088,1.2991079,False,agreement,0.3903213,0.12613994,2.534235,False,0.6853796,1.9908153
