sample_id,scenario_id,split,ground_truth,whisper_transcript,wer,is_error,avg_logprob,no_speech_prob,compression_ratio,temperature,language,S,D,I,N,domain_WER,domain_true,domain_pred,domain_correct,domain_TP,domain_FP,domain_FN,domain_precision,domain_recall,domain_S_total,domain_D_total,domain_I_total,domain_N_total,domain_WER_aggregate,domain_TP_total,domain_FP_total,domain_FN_total,domain_precision_aggregate,domain_recall_aggregate
nlu_0179_03,S0179,train,"The current available evidence requires further review, especially in relation to the relationship between atorvastatin and statin; during the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers statin.","The current available evidence requires further review, especially in relation to the relationship between Ador Vastatin and Statin. During the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers Statin.",0.142857142857143,1,-0.285150227723298,0.0091280918568372,1.58333333333333,0,en,1,0,1,35,0.0571428571428571,medical,medical,1,1872,41,8,0.9785676947203346,0.9957446808510638,500,18,1493,60630,0.03316839848259937,1872,41,8,0.9785676947203346,0.9957446808510638
nlu_0392_08,S0392,train,"The case involves the reported concern involving defendant, and the relevant relevant records is being assessed; as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.","The case involves the reported concern involving defendant, and the relevant, relevant records is being assessed, as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.",0.0540540540540541,1,-0.144344087080522,0.00984738022089,1.60606060606061,0,en,0,0,0,37,0.0,legal,legal,1,1243,15,7,0.9880763116057234,0.9944,131,12,482,40484,0.015438197806540856,1243,15,7,0.9880763116057234,0.9944
nlu_0023_02,S0023,train,"The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue; as part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.","The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue. As part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.",0.0487804878048781,1,-0.124572858972065,0.0055903927423059,1.59322033898305,0,en,0,0,0,41,0.0,medical,medical,1,1872,41,8,0.9785676947203346,0.9957446808510638,500,18,1493,60630,0.03316839848259937,1872,41,8,0.9785676947203346,0.9957446808510638
nlu_0214_06,S0214,train,"The available evidence was considered before deciding how to address the current status of mortgage underwriting; at the current stage, the responsible specialist, while considering the current evidence.","The available evidence was considered before deciding how to address the current status of mortgage underwriting. At the current stage, the responsible specialist, while considering the current evidence.",0.0714285714285714,1,-0.221629953384399,0.0047807064838707,1.51492537313433,0,en,0,0,0,28,0.0,finance,finance,1,1242,2,8,0.9983922829581994,0.9936,113,84,949,41225,0.027798665858095817,1242,2,8,0.9983922829581994,0.9936
nlu_0523_05,S0523,train,"Can you tell me how to ask about a delivery, given after the latest information became available, the person handling the matter, after the latest information was reviewed?",Can you tell me how to ask about a delivery given after the latest information became available? The person handling the matter after the latest information was reviewed.,0.178571428571429,1,-0.266309901646205,0.008167939260602,1.45299145299145,0,en,0,0,0,28,0.0,general,general,1,1000,0,0,1.0,1.0,58,1,410,23320,0.020111492281303604,1000,0,0,1.0,1.0
nlu_0117_09,S0117,train,"The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes; during the latest review, the assigned professional, during the present round of discussion.","The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes. During the latest review, the assigned professional during the present round of discussion.",0.0882352941176471,1,-0.141268533209096,0.0165401808917522,1.59731543624161,0,en,0,0,0,34,0.0,medical,medical,1,1872,41,8,0.9785676947203346,0.9957446808510638,500,18,1493,60630,0.03316839848259937,1872,41,8,0.9785676947203346,0.9957446808510638
nlu_0088_10,S0088,train,"Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction; during the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.","Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction. During the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.",0.0571428571428571,1,-0.129870751324822,0.0115908998996019,1.57142857142857,0,en,0,0,0,36,0.0,medical,medical,1,1872,41,8,0.9785676947203346,0.9957446808510638,500,18,1493,60630,0.03316839848259937,1872,41,8,0.9785676947203346,0.9957446808510638
nlu_0016_07,S0016,train,"The latest analysis focused on the evidence related to ventricular response; following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.","The latest analysis focused on the evidence related to ventricular response, following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.",0.0333333333333333,1,-0.20846937013709,0.0081584081053733,1.54304635761589,0,en,0,0,0,30,0.0,medical,medical,1,1872,41,8,0.9785676947203346,0.9957446808510638,500,18,1493,60630,0.03316839848259937,1872,41,8,0.9785676947203346,0.9957446808510638
nlu_0166_08,S0166,validation,"The case involves the reported concern involving warfarin, and the relevant relevant records is being assessed; after the latest information became available, the current reviewer, while comparing the available options. The record specifically references warfarin.","The case involves the reported concern involving Warfarin, and the relevant relevant records is being assessed. After the latest information became available, the current reviewer, while comparing the available options. The record specifically references Warfarin.",0.114285714285714,1,-0.24926609652383,0.0106689091771841,1.56213017751479,0,en,0,0,0,35,0.0,medical,medical,1,1872,41,8,0.9785676947203346,0.9957446808510638,500,18,1493,60630,0.03316839848259937,1872,41,8,0.9785676947203346,0.9957446808510638
nlu_0033_04,S0033,unseen,"A detailed validation was requested concerning the implications of troponin; as part of the current review, the relevant team, during the present round of discussion.","A detailed validation was requested concerning the implications of Tropynon. As part of the current review, the relevant team during the present round of discussion.",0.12,1,-0.405382919311523,0.006310167722404,1.35245901639344,0,en,1,0,0,25,0.04,medical,medical,1,1872,41,8,0.9785676947203346,0.9957446808510638,500,18,1493,60630,0.03316839848259937,1872,41,8,0.9785676947203346,0.9957446808510638
