sample_id,scenario_id,split,ground_truth,whisper_transcript,wer,is_error,avg_logprob,no_speech_prob,compression_ratio,temperature,noise_factor,language,S,D,I,N,domain_WER,domain_true,domain_pred,domain_correct,domain_TP,domain_FP,domain_FN,domain_precision,domain_recall,domain_S_total,domain_D_total,domain_I_total,domain_N_total,domain_WER_aggregate,domain_TP_total,domain_FP_total,domain_FN_total,domain_precision_aggregate,domain_recall_aggregate
nlu_0179_03,S0179,train,"The current available evidence requires further review, especially in relation to the relationship between atorvastatin and statin; during the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers statin.","The current available evidence requires further review, especially in relation to the relationship between Adorevastitin and Staton. During the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers Staton.",0.1142857142857142,1,-0.249106840653853,0.0050338706932961,1.592814371257485,0.5,0.005,en,3,0,0,35,0.0857142857142857,medical,medical,1,1871,38,9,0.9800942902042954,0.9952127659574468,575,2,274,60630,0.014035955797460004,1871,38,9,0.9800942902042954,0.9952127659574468
nlu_0392_08,S0392,train,"The case involves the reported concern involving defendant, and the relevant relevant records is being assessed; as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.","The case involves the reported concern involving defendant and the relevant relevant records is being assessed, as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.",0.054054054054054,1,-0.1691255374830596,0.0064344499260187,1.5843373493975903,0.5,0.005,en,0,0,0,37,0.0,legal,legal,1,1243,16,7,0.9872915011914216,0.9944,186,18,10,40484,0.005286038928959589,1243,16,7,0.9872915011914217,0.9944
nlu_0023_02,S0023,train,"The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue; as part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.","The team is evaluating coronary artery disease in the context of atherosclerotic plaque with particular attention to the reported issue. As part of the current review, the case team while comparing the available options. The record specifically references coronary artery disease.",0.0975609756097561,1,-0.1726737455888227,0.0025589405559003,1.6184971098265897,0.5,0.005,en,0,0,0,41,0.0,medical,medical,1,1871,38,9,0.9800942902042954,0.9952127659574468,575,2,274,60630,0.014035955797460004,1871,38,9,0.9800942902042954,0.9952127659574468
nlu_0214_06,S0214,train,"The available evidence was considered before deciding how to address the current status of mortgage underwriting; at the current stage, the responsible specialist, while considering the current evidence.","The available evidence was considered before deciding how to address the current status of mortgage underwriting. At the current stage, the responsible specialist, while considering the current evidence.",0.0714285714285714,1,-0.2107615947723388,0.0031053149141371,1.5149253731343284,0.5,0.005,en,0,0,0,28,0.0,finance,finance,1,1242,3,8,0.9975903614457832,0.9936,175,94,2,41225,0.0065736810187992725,1242,3,8,0.9975903614457832,0.9936
nlu_0523_05,S0523,train,"Can you tell me how to ask about a delivery, given after the latest information became available, the person handling the matter, after the latest information was reviewed?","Can you tell me how to ask about a delivery? Given after the latest information became available, the person handling the matter after the latest information was reviewed.",0.1428571428571428,1,-0.2791783684178403,0.0028053445275872,1.4491525423728813,0.5,0.005,en,0,0,0,28,0.0,general,general,1,1000,0,0,1.0,1.0,69,7,3,23320,0.0033876500857632935,1000,0,0,1.0,1.0
nlu_0117_09,S0117,train,"The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes; during the latest review, the assigned professional, during the present round of discussion.","The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes. During the latest review, the assigned professional during the present round of discussion.",0.088235294117647,1,-0.1197018934332806,0.01007981877774,1.5973154362416109,0.5,0.005,en,0,0,0,34,0.0,medical,medical,1,1871,38,9,0.9800942902042954,0.9952127659574468,575,2,274,60630,0.014035955797460004,1871,38,9,0.9800942902042954,0.9952127659574468
nlu_0088_10,S0088,train,"Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction; during the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.","Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction. During the most recent assessment, the decision-making group, while considering the current evidence. The records specifically references cerebral infarction.",0.0857142857142857,1,-0.1437114734275668,0.0051645124331116,1.5771428571428572,0.5,0.005,en,1,0,0,36,0.0277777777777777,medical,medical,1,1871,38,9,0.9800942902042954,0.9952127659574468,575,2,274,60630,0.014035955797460004,1871,38,9,0.9800942902042954,0.9952127659574468
nlu_0016_07,S0016,train,"The latest analysis focused on the evidence related to ventricular response; following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.","The latest analysis focused on the evidence related to ventricular response. Following the previous discussion, the responsible specialist after the latest information was reviewed. The discussion also considers atrial fibrillation.",0.1,1,-0.1568632549709744,0.0038879299536347,1.5163398692810457,0.5,0.005,en,0,0,0,30,0.0,medical,medical,1,1871,38,9,0.9800942902042954,0.9952127659574468,575,2,274,60630,0.014035955797460004,1871,38,9,0.9800942902042954,0.9952127659574468
nlu_0166_08,S0166,validation,"The case involves the reported concern involving warfarin, and the relevant relevant records is being assessed; after the latest information became available, the current reviewer, while comparing the available options. The record specifically references warfarin.","The case involves the reported concern involving Warfarin and the relevant relevant records is being assessed. After the latest information became available, the current reviewer, while comparing the available options. The record specifically references Warfarin.",0.1142857142857142,1,-0.2308189728680779,0.0057198228314518,1.5654761904761905,0.5,0.005,en,0,0,0,35,0.0,medical,medical,1,1871,38,9,0.9800942902042954,0.9952127659574468,575,2,274,60630,0.014035955797460004,1871,38,9,0.9800942902042954,0.9952127659574468
nlu_0033_04,S0033,unseen,"A detailed validation was requested concerning the implications of troponin; as part of the current review, the relevant team, during the present round of discussion.","A detailed validation was requested concerning the implications of Tropanin. As part of the current review, the relevant team during the present round of discussion.",0.12,1,-0.3193193541632758,0.0031794279348105,1.3636363636363635,0.5,0.005,en,1,0,0,25,0.04,medical,medical,1,1871,38,9,0.9800942902042954,0.9952127659574468,575,2,274,60630,0.014035955797460004,1871,38,9,0.9800942902042954,0.9952127659574468
