canonical_name,definition,positive_criteria,negative_criteria,head,cluster_id,support
DOMAIN,"The area of focus, scope, or subject matter being discussed.","['References to specific fields of study, industry, or subject matter (e.g., finance, healthcare, technology).', 'Mentions of geographical areas or operational territories (e.g., Vietnam, Haiti).', 'Discussions about the scope or boundaries of a project or analysis.']","[""Purely temporal references (e.g., 'next week', 'last quarter') without context of the subject."", 'General conversational filler or emotional expressions.', 'Numerical data points without an associated subject area.']",domain,0.0,4706.0
LOCATION_AND_GEOGRAPHY,Queries asking for the location or geographical details of a place.,"['where is [place]', 'what is the capital of [state/country]']","['what is the meaning of [word]', 'how do i [action]']",domain,1.0,4.0
DOMAIN,The general area or subject matter of the query.,"[""Queries that specify a broad topic (e.g., 'history', 'science', 'weather')."", 'Queries where the intent is to retrieve information about a specific field.']","[""Queries that are purely transactional (e.g., 'book a flight')."", 'Queries that are simple greetings or small talk.']",domain,2.0,2.0
SUBDOMAIN,"A specific area or field of study, business, or operation.","[""Mentioning a specific area of focus (e.g., 'finance subdomain', 'healthcare subdomain')."", 'Referring to a particular branch or segment within a larger domain.']","['General conversational filler or closing remarks (as seen in the examples).', 'References to physical locations or unrelated topics without a clear domain context.']",subdomain,0.0,3658.0
LOCATION_QUERY,A question asking for a specific geographical location or place.,"[""Contains interrogative words like 'what is' or 'where is' related to a place."", ""Mentions specific geographical entities (e.g., 'capital of Maryland', 'Botswana').""]","['Does not ask for a location (e.g., questions about concepts, definitions, or actions).', 'Does not contain geographical keywords.']",subdomain,1.0,4.0
SUBDOMAIN,A specific area or field of study or operation.,"[""Mentions a specific industry or topic area (e.g., 'finance', 'healthcare', 'AI')."", 'Indicates a specialized scope of inquiry.']","['General questions about a person or entity (like the provided examples).', 'Questions that do not specify a particular domain.']",subdomain,2.0,2.0
SUBDOMAIN,The specific area or field of expertise the user is inquiring about or the context of the query.,"[""Mentions specific medical conditions (e.g., 'gallbladder stone', 'fibroids')."", ""Refers to body parts or symptoms in detail (e.g., 'lump on my back', 'chest pain')."", ""Indicates a specific area of concern (e.g., 'pregnancy', 'heart beating irregularly').""]","[""General greetings or non-medical conversational filler (e.g., 'Hi', 'Sona')."", 'Statements that are purely informational without a clear request for guidance or assessment.']",subdomain,3.0,1048.0
GENERAL_CONVERSATIONAL_RESPONSE,"A broad category for responses that are conversational, expressive, or provide general commentary rather than executing a specific task or answering a direct factual query.","[""Expressing agreement, disagreement, or surprise (e.g., 'See, didn't I tell you?!')"", ""Making social commentary or observations (e.g., 'You're getting over Ross already!')"", ""Expressing willingness or enthusiasm (e.g., 'Oh yeah, I'd love that.')"", ""Asking rhetorical or challenging questions (e.g., 'I mean why, of all people would you want to go out with Chip?!')""]","[""Directly requesting an action or task execution (e.g., 'draft an email to kailey about work later' - this is a command/request)"", ""Asking a specific factual question requiring retrieval (e.g., 'What is the capital of France?')"", 'Providing a definitive answer to a query.']",intent,0.0,1632.0
GENERAL_QUESTION,"A broad inquiry seeking information, explanation, or definition on a wide range of topics, often philosophical or factual.","['Starts with interrogative words (What, Why, How, Does).', ""Asks for a definition or explanation of a concept (e.g., 'what is X')."", ""Involves abstract or existential topics (e.g., 'purpose of life').""]","['Commands an action (imperative statements).', 'Expresses a clear transactional goal (e.g., booking, purchasing).', 'Is a simple statement of fact without an explicit question mark or interrogative structure.']",intent,1.0,23.0
FINANCIAL_REPORTING_OR_ANALYSIS,"Discussions related to financial performance, company results, future outlook, or operational metrics.","['Mentions of financial figures (e.g., revenue, net income, costs, market share).', 'References to time periods (e.g., Q2, third quarter of 2019, 2020).', 'Discussions of business strategy, resource allocation, or investment return (ROI).', 'Statements regarding forward-looking statements or risks associated with financial performance.']","[""Urgent requests for immediate action or crisis management (e.g., 'emergency-level attention right away')."", 'General conversational or social topics unrelated to business performance.']",intent,2.0,1999.0
MEDICAL_QUERY,"A user is asking a question or seeking information regarding a medical symptom, condition, or health concern.","['Describing symptoms (e.g., nausea, burning in the foot, back pain).', ""Asking for a diagnosis or potential causes (e.g., 'may be due to a cervical spine problem')."", ""Seeking advice on treatment or next steps (e.g., 'should I get a second opinion', 'how can it be treated')."", ""Reporting an acute medical event (e.g., 'My child is having a seizure').""]","['General greetings or small talk unrelated to health.', 'Requests for non-medical information (e.g., weather, definitions).', 'Statements that are purely informational without a query or concern.']",intent,3.0,1048.0
LOCATION_QUERY,User is asking for the location or geographical information about a place.,"[""Contains 'where is' followed by a place name."", ""Contains 'what is the capital of' followed by a state or country.""]","[""Does not contain explicit location keywords (e.g., 'where', 'capital')."", 'Is not a question about geography.']",intent,4.0,4.0
QUESTION_ABOUT_BIRTH_DATE,A query asking for the birth date of a specific person.,"[""Contains a question word like 'when' or 'what' related to a date."", ""Mentions a proper noun that is a person's name (e.g., 'Richard Nixon')."", ""The core query is about the person's birth.""]","['Questions about death dates or lifespan.', 'Questions about career achievements or locations.', 'Statements rather than direct questions.']",intent,5.0,2.0
INFORMATION_QUERY,A user is asking for factual information or a definition about a specific topic.,"[""Starts with 'define' or 'describe'"", ""Asks 'how is X made' or 'what is X'""]","[""Expresses a command or request to perform an action (e.g., 'set a timer')"", ""Expresses a feeling or opinion (e.g., 'I like this movie')""]",intent,6.0,4.0
INTERJECTION_EXCLAMATION,"Short utterances expressing sudden emotion, reaction, or emphasis.","[""Exclamatory phrases or single words expressing strong feeling (e.g., 'Wow!', 'Oh god', 'Great')."", ""Interjections used to start or punctuate a thought (e.g., 'Oh no', 'Wow!').""]","['Complete declarative or interrogative sentences with clear semantic content.', 'Statements that require complex contextual understanding beyond immediate emotional reaction.']",entity_type,0.0,1632.0
SENTENCE_FRAGMENT,"A short, often incomplete, segment of text that might be a clause, phrase, or a standalone utterance, frequently used in conversational or complex text analysis.","['Short, self-contained phrases or clauses.', ""Text snippets that appear to be extracted from a larger context (e.g., 'I mean', 'Does calling it not mean anything anymore?!')."", 'Phrases that express a specific idea or sentiment but are not full, grammatically complete sentences.']","['Long, complex paragraphs or full articles.', 'Simple, declarative sentences that are clearly complete statements.', 'Purely technical jargon without surrounding conversational context.']",entity_type,1.0,23.0
COMPANY,Refers to a specific business entity or corporation.,"[""Mentions of company names (e.g., 'Co-op')."", ""References to corporate actions or status (e.g., 'company for future growth', 'major corporate account')."", ""Discussions about business performance or strategy (e.g., 'protect margins', 'competitive advantage').""]","[""General business concepts without a specific entity (e.g., 'sales are down')."", ""Financial terms that are not tied to a specific organization (e.g., 'liquidity' in isolation)."", 'Abstract concepts or general statements.']",entity_type,2.0,1999.0
