audio_path,transcript,domain,subdomain,intent,entity_type,urgency,emotion
synthetic_tts/urgency_high_MED_0001.wav,I am having crushing chest pressure with heavy sweating and I feel suddenly very weak. Can you help me understand how urgently this needs to be handled?,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_MED_0002.wav,I suddenly cannot catch my breath and my breathing is getting harder every minute. I need this reviewed as soon as possible because the situation is getting worse.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,NEUTRAL
synthetic_tts/urgency_high_MED_0003.wav,My father has collapsed and is barely responding after complaining of severe chest pain. Please treat this as a high-priority issue and advise on the next immediate step.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_CONDITION_OR_CLINICAL_STATE,HIGH,ANGER
synthetic_tts/urgency_high_MED_0004.wav,There is sudden weakness on one side of my face and arm and my speech has become unclear. I am concerned about the rapid change and need urgent assistance.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_MED_0005.wav,I am coughing up a large amount of blood and I feel dizzy and extremely weak. This cannot wait for a routine appointment or review; I need prompt guidance.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_MED_0006.wav,My heart is racing irregularly and I feel like I might faint when I stand up. Please flag this for immediate attention because the risk is increasing.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,NEUTRAL
synthetic_tts/urgency_high_MED_0007.wav,My child is having a seizure that has continued for several minutes and has not stopped. I need an urgent assessment rather than a routine response.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_CONDITION_OR_CLINICAL_STATE,HIGH,ANGER
synthetic_tts/urgency_high_MED_0008.wav,I have severe abdominal pain with repeated vomiting and I cannot keep any fluids down. The situation is becoming serious and I need help without a long delay.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_MED_0009.wav,"I suddenly developed severe headache, confusion, and difficulty staying awake. Can you help me understand how urgently this needs to be handled?",MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_MED_0010.wav,I am having a severe allergic reaction with swelling around my mouth and increasing trouble breathing. I need this reviewed as soon as possible because the situation is getting worse.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,NEUTRAL
