audio_path,transcript,domain,subdomain,intent,entity_type,urgency,emotion
synthetic_tts/urgency_high_add_4213.wav,I have sudden crushing pressure in my chest with sweating and severe weakness. Please treat this as a high priority and advise as soon as possible.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_add_4214.wav,I am struggling to breathe and my shortness of breath is getting worse quickly. I need prompt assistance because the situation is becoming serious.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4215.wav,One side of my face and arm suddenly feels weak and my speech is slurred. This needs urgent review rather than a routine response.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_add_4216.wav,Our cash position has fallen sharply and we may not meet near-term obligations. Please escalate this quickly because the risk is increasing.,FINANCIAL,HEALTHCARE,FINANCIAL_REPORTING_AND_OUTLOOK,FINANCIAL_METRICS_DETAIL,HIGH,ANGER
synthetic_tts/urgency_high_add_4217.wav,A regulatory decision could immediately suspend a major healthcare revenue stream. I need an urgent assessment and guidance on the next step.,FINANCIAL,HEALTHCARE,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,FINANCIAL_STRATEGY_AND_PLANNING,HIGH,FEAR
synthetic_tts/urgency_high_add_4218.wav,I am coughing up blood and feel extremely dizzy and weak. This cannot wait for a normal review; please respond promptly.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4219.wav,My father has collapsed and is barely responding after severe chest pain. The situation is worsening and needs immediate attention.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_CONDITION_OR_CLINICAL_STATE,HIGH,FEAR
synthetic_tts/urgency_high_add_4220.wav,My heart is beating irregularly and I feel like I may faint. Please flag this as urgent and help me decide what to do next.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,ANGER
synthetic_tts/urgency_high_add_4221.wav,A major healthcare segment has reported an unexpected financial loss. Please treat this as a high priority and advise as soon as possible.,FINANCIAL,HEALTHCARE,FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,FINANCIAL_METRICS_DETAIL,HIGH,FEAR
synthetic_tts/urgency_high_add_4222.wav,An unexpected loss in a major business segment threatens our quarterly target. I need prompt assistance because the situation is becoming serious.,FINANCIAL,INDUSTRIAL_GOODS,FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,CORPORATE_FINANCIAL_PERFORMANCE,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4223.wav,My child is having a seizure that has continued for several minutes. This needs urgent review rather than a routine response.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_ADVICE_AND_TREATMENT,TREATMENT_OR_HEALTHCARE,HIGH,FEAR
synthetic_tts/urgency_high_add_4224.wav,I have severe swelling of my lips and difficulty breathing after taking a medicine. Please escalate this quickly because the risk is increasing.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICATION_OR_DRUG,HIGH,ANGER
synthetic_tts/urgency_high_add_4225.wav,My oxygen saturation has suddenly dropped and I am struggling to breathe. I need an urgent assessment and guidance on the next step.,MEDICAL,MEDICAL_SPECIALTY,MEDICATION_DIAGNOSTICS_AND_CLINICAL_RESEARCH,DIAGNOSTIC_TEST_OR_RESULT,HIGH,FEAR
synthetic_tts/urgency_high_add_4226.wav,We detected a potentially fraudulent transfer involving a major corporate account. This cannot wait for a normal review; please respond promptly.,FINANCIAL,TECHNOLOGY,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,GENERAL_BUSINESS_ADMINISTRATION,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4227.wav,A security incident has disrupted our financial systems and sensitive data may be exposed. The situation is worsening and needs immediate attention.,FINANCIAL,TECHNOLOGY,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,TECHNOLOGY_AND_DIGITAL_INFRASTRUCTURE,HIGH,FEAR
synthetic_tts/urgency_high_add_4228.wav,My elderly mother has suddenly become confused and cannot recognize anyone. Please flag this as urgent and help me decide what to do next.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_CONDITION_OR_CLINICAL_STATE,HIGH,ANGER
synthetic_tts/urgency_high_add_4229.wav,I have severe chest pain together with shortness of breath and nausea. Please treat this as a high priority and advise as soon as possible.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_add_4230.wav,I inhaled chemical fumes and now have chest tightness and worsening breathing. I need prompt assistance because the situation is becoming serious.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_ADVICE_AND_TREATMENT,TREATMENT_OR_HEALTHCARE,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4231.wav,A sudden working-capital shortfall could prevent us from paying critical suppliers. This needs urgent review rather than a routine response.,FINANCIAL,INDUSTRIAL_GOODS,FINANCIAL_REPORTING_AND_OUTLOOK,FINANCIAL_METRICS_DETAIL,HIGH,FEAR
synthetic_tts/urgency_high_add_4232.wav,A major competitor has taken substantial market share and customer losses are accelerating. Please escalate this quickly because the risk is increasing.,FINANCIAL,TECHNOLOGY,MARKET_AND_COMPETITIVE_OUTLOOK,MARKET_AND_INDUSTRY_ANALYSIS,HIGH,ANGER
synthetic_tts/urgency_high_add_4233.wav,I have sudden crushing pressure in my chest with sweating and severe weakness. I need an urgent assessment and guidance on the next step.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_add_4234.wav,I am struggling to breathe and my shortness of breath is getting worse quickly. This cannot wait for a normal review; please respond promptly.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4235.wav,One side of my face and arm suddenly feels weak and my speech is slurred. The situation is worsening and needs immediate attention.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
synthetic_tts/urgency_high_add_4236.wav,A serious governance issue has emerged involving a major healthcare contract. Please flag this as urgent and help me decide what to do next.,FINANCIAL,HEALTHCARE,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,BUSINESS_GOVERNANCE_AND_RELATIONS,HIGH,ANGER
synthetic_tts/urgency_high_add_4237.wav,Our payment system has stopped processing transactions and customers cannot access their funds. Please treat this as a high priority and advise as soon as possible.,FINANCIAL,TECHNOLOGY,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,FINANCIAL_STRATEGY_AND_PLANNING,HIGH,FEAR
synthetic_tts/urgency_high_add_4238.wav,I am coughing up blood and feel extremely dizzy and weak. I need prompt assistance because the situation is becoming serious.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4239.wav,My father has collapsed and is barely responding after severe chest pain. This needs urgent review rather than a routine response.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_CONDITION_OR_CLINICAL_STATE,HIGH,FEAR
synthetic_tts/urgency_high_add_4240.wav,My heart is beating irregularly and I feel like I may faint. Please escalate this quickly because the risk is increasing.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,ANGER
synthetic_tts/urgency_high_add_4241.wav,A regulatory decision could immediately suspend a major healthcare revenue stream. I need an urgent assessment and guidance on the next step.,FINANCIAL,HEALTHCARE,FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,FINANCIAL_STRATEGY_AND_PLANNING,HIGH,FEAR
synthetic_tts/urgency_high_add_4242.wav,A factory shutdown is causing a major production shortfall and threatening current orders. This cannot wait for a normal review; please respond promptly.,FINANCIAL,INDUSTRIAL_GOODS,BUSINESS_STRATEGY_AND_PROJECT_PLANNING,BUSINESS_OPERATIONS_AND_LOGISTICS,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4243.wav,My child is having a seizure that has continued for several minutes. The situation is worsening and needs immediate attention.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_ADVICE_AND_TREATMENT,TREATMENT_OR_HEALTHCARE,HIGH,FEAR
synthetic_tts/urgency_high_add_4244.wav,I have severe swelling of my lips and difficulty breathing after taking a medicine. Please flag this as urgent and help me decide what to do next.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICATION_OR_DRUG,HIGH,ANGER
synthetic_tts/urgency_high_add_4245.wav,My oxygen saturation has suddenly dropped and I am struggling to breathe. Please treat this as a high priority and advise as soon as possible.,MEDICAL,MEDICAL_SPECIALTY,MEDICATION_DIAGNOSTICS_AND_CLINICAL_RESEARCH,DIAGNOSTIC_TEST_OR_RESULT,HIGH,FEAR
synthetic_tts/urgency_high_add_4246.wav,An unexpected loss in a major business segment threatens our quarterly target. I need prompt assistance because the situation is becoming serious.,FINANCIAL,INDUSTRIAL_GOODS,FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,CORPORATE_FINANCIAL_PERFORMANCE,HIGH,NEUTRAL
synthetic_tts/urgency_high_add_4247.wav,A critical technology project has failed and may cause a large unexpected financial loss. This needs urgent review rather than a routine response.,FINANCIAL,TECHNOLOGY,BUSINESS_STRATEGY_AND_PROJECT_PLANNING,FINANCIAL_STRATEGY_AND_PLANNING,HIGH,FEAR
synthetic_tts/urgency_high_add_4248.wav,My elderly mother has suddenly become confused and cannot recognize anyone. Please escalate this quickly because the risk is increasing.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_CONDITION_OR_CLINICAL_STATE,HIGH,ANGER
synthetic_tts/urgency_high_add_4249.wav,I have severe chest pain together with shortness of breath and nausea. I need an urgent assessment and guidance on the next step.,MEDICAL,MEDICAL_SPECIALTY,MEDICAL_SYMPTOM_AND_CONDITION,MEDICAL_SYMPTOM,HIGH,FEAR
