sample_id,scenario_id,split,ground_truth,whisper_transcript,wer,is_error,avg_logprob,no_speech_prob,compression_ratio,temperature,noise_factor,language
nlu_0179_03,S0179,train,"The current available evidence requires further review, especially in relation to the relationship between atorvastatin and statin; during the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers statin.","The current available evidence requires further review, especially in relation to the relationship between Adorevastitin and Staton. During the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers Staton.",0.11428571428571428,1,-0.249106840653853,0.005033870693296194,1.592814371257485,0.5,0.005,en
nlu_0392_08,S0392,train,"The case involves the reported concern involving defendant, and the relevant relevant records is being assessed; as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.","The case involves the reported concern involving defendant and the relevant relevant records is being assessed, as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.",0.05405405405405406,1,-0.16912553748305967,0.006434449926018715,1.5843373493975903,0.5,0.005,en
nlu_0023_02,S0023,train,"The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue; as part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.","The team is evaluating coronary artery disease in the context of atherosclerotic plaque with particular attention to the reported issue. As part of the current review, the case team while comparing the available options. The record specifically references coronary artery disease.",0.0975609756097561,1,-0.17267374558882279,0.0025589405559003353,1.6184971098265895,0.5,0.005,en
nlu_0214_06,S0214,train,"The available evidence was considered before deciding how to address the current status of mortgage underwriting; at the current stage, the responsible specialist, while considering the current evidence.","The available evidence was considered before deciding how to address the current status of mortgage underwriting. At the current stage, the responsible specialist, while considering the current evidence.",0.07142857142857142,1,-0.21076159477233883,0.003105314914137125,1.5149253731343284,0.5,0.005,en
nlu_0523_05,S0523,train,"Can you tell me how to ask about a delivery, given after the latest information became available, the person handling the matter, after the latest information was reviewed?","Can you tell me how to ask about a delivery? Given after the latest information became available, the person handling the matter after the latest information was reviewed.",0.14285714285714285,1,-0.2791783684178403,0.0028053445275872946,1.4491525423728813,0.5,0.005,en
nlu_0117_09,S0117,train,"The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes; during the latest review, the assigned professional, during the present round of discussion.","The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes. During the latest review, the assigned professional during the present round of discussion.",0.08823529411764706,1,-0.11970189343328061,0.010079818777740002,1.5973154362416107,0.5,0.005,en
nlu_0088_10,S0088,train,"Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction; during the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.","Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction. During the most recent assessment, the decision-making group, while considering the current evidence. The records specifically references cerebral infarction.",0.08571428571428572,1,-0.14371147342756682,0.005164512433111668,1.5771428571428572,0.5,0.005,en
nlu_0016_07,S0016,train,"The latest analysis focused on the evidence related to ventricular response; following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.","The latest analysis focused on the evidence related to ventricular response. Following the previous discussion, the responsible specialist after the latest information was reviewed. The discussion also considers atrial fibrillation.",0.1,1,-0.1568632549709744,0.003887929953634739,1.5163398692810457,0.5,0.005,en
nlu_0166_08,S0166,validation,"The case involves the reported concern involving warfarin, and the relevant relevant records is being assessed; after the latest information became available, the current reviewer, while comparing the available options. The record specifically references warfarin.","The case involves the reported concern involving Warfarin and the relevant relevant records is being assessed. After the latest information became available, the current reviewer, while comparing the available options. The record specifically references Warfarin.",0.11428571428571428,1,-0.23081897286807793,0.005719822831451893,1.5654761904761905,0.5,0.005,en
nlu_0033_04,S0033,unseen,"A detailed validation was requested concerning the implications of troponin; as part of the current review, the relevant team, during the present round of discussion.","A detailed validation was requested concerning the implications of Tropanin. As part of the current review, the relevant team during the present round of discussion.",0.12,1,-0.31931935416327584,0.0031794279348105192,1.3636363636363635,0.5,0.005,en
nlu_0531_03,S0531,train,"Please help me confirm a meeting; this is after the latest information became available, the case team, during the present round of discussion.","Please help me confirm a meeting. This is after the latest information became available, the case team, during the present round of discussion.",0.08695652173913043,1,-0.22316662003012264,0.004263315815478563,1.2767857142857142,0.5,0.005,en
nlu_0262_02,S0262,train,"The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue; as part of the current review, the reviewing organization, while considering the current evidence. The record specifically references portfolio allocation.","The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue. As part of the current review, the reviewing organization while considering the current evidence. The record specifically references portfolio allocation.",0.07692307692307693,1,-0.25210449912331323,0.0038458858616650105,1.6374269005847952,0.5,0.005,en
nlu_0082_02,S0082,unseen,"The team is evaluating cerebral infarction in the context of diffusion restriction, with particular attention to the reported issue; during the latest review, the reviewing group, while considering the current evidence. The record specifically references cerebral infarction.","The team is evaluating cerebral infarction in the context of diffusion restriction, with particular attention to the reported issue, during the latest review, the reviewing group, while considering the current evidence. The record specifically references cerebral infarction.",0.02702702702702703,1,-0.1206112163407462,0.004547854885458946,1.6176470588235294,0.5,0.005,en
nlu_0040_04,S0040,train,"A detailed case was requested concerning the implications of troponin; during the latest review, the assigned professional, while considering the current evidence.","A detailed case was requested concerning the implications of troponin. During the latest review, the assigned professional while considering the current evidence.",0.13636363636363635,1,-0.3187870383262634,0.0018186825327575207,1.361344537815126,0.5,0.005,en
nlu_0360_04,S0360,train,"A detailed case was requested concerning the implications of material breach; at the current stage, the person handling the matter, while comparing the available options.","A detailed case was requested concerning the implications of material breach. At the current stage, the person handling the matter while comparing the available options.",0.12,1,-0.1608148921619762,0.002781596267595887,1.396694214876033,0.5,0.005,en
nlu_0264_09,S0264,train,"The professional handling the matter is reviewing the effect of diversification on the overall situation and the associated observed changes; as part of the current review, the relevant team, after the latest information was reviewed.","The professional handling the matter is reviewing the effect of diversification on the overall situation and the associated observed changes. As part of the current review, the relevant team, after the latest information, was reviewed.",0.08571428571428572,1,-0.1935693699380626,0.0051912181079387665,1.5359477124183007,0.5,0.005,en
nlu_0219_08,S0219,train,"The case involves the reported concern involving mortgage underwriting, and the relevant relevant records is being assessed; during the most recent assessment, the technical or professional team, before the next decision. The record specifically references mortgage underwriting.","The case involves the reported concern involving mortgage underwriting and the relevant relevant records is being assessed during the most recent assessment, the technical or professional team before the next decision. The record specifically references mortgage underwriting.",0.08108108108108109,1,-0.27988021931749707,0.005262771621346474,1.6932515337423313,0.5,0.005,en
nlu_0536_02,S0536,train,"Could you help me with check a booking? This is at the current stage, the reviewing group, while comparing the available options.","Could you help me with check a booking? This is at the current stage, the reviewing group, while comparing the available options.",0.0,0,-0.2626991887246409,0.006676939316093922,1.18348623853211,0.5,0.005,en
nlu_0032_10,S0032,train,"Further review is needed before a final decision is made about the decision surrounding ischemic pattern; during the most recent assessment, the relevant team, while comparing the available options. The record specifically references ST-segment elevation.","Further review is needed before a final decision is made about the decision surrounding ischemic pattern. During the most recent assessment, the relevant team while comparing the available options. The record specifically references ST Segment Elevation.",0.17142857142857143,1,-0.3084755878822476,0.0021485784091055393,1.4767441860465116,0.5,0.005,en
nlu_0017_08,S0017,train,"The case involves the reported concern involving coronary artery disease, and the relevant relevant records is being assessed; during the ongoing evaluation, the assigned professional, while comparing the available options. The record specifically references coronary artery disease.","The case involves the reported concern involving coronary artery disease and the relevant relevant records is being assessed. During the ongoing evaluation, the assigned professional, while comparing the available options. The record specifically references coronary artery disease.",0.08108108108108109,1,-0.2483479441428671,0.0053558675572276115,1.6785714285714286,0.5,0.005,en
nlu_0075_07,S0075,train,"The latest review focused on the evidence related to focal neurological deficit; as part of the current review, the current reviewer, before the matter is finalized. The discussion also considers cerebral infarction.","The latest review focused on the evidence related to focal neurological deficit. As part of the current review, the current reviewer, before the matter, is finalized. The discussion also considers cerebral infarction.",0.09375,1,-0.13647243824410946,0.0038854037411510944,1.5174825174825175,0.5,0.005,en
nlu_0548_01,S0548,validation,"I need help with change a reservation, at the current stage, the assigned professional, while considering the current evidence.","I need help with change or reservation at the current stage, the assigned professional, while considering the current evidence.",0.10526315789473684,1,-0.24630990982055664,0.003962991759181023,1.2959183673469388,0.5,0.005,en
nlu_0371_08,S0371,unseen,"The case involves the reported concern involving termination provision, and the relevant relevant records is being assessed; in the current round of review, the person handling the matter, before the next decision. The record specifically references termination provision.","The case involves the reported concern involving termination provision, and the relevant, relevant records is being assessed. In the current round of review, the person handling the matter before the next decision. The record specifically references termination provision.",0.10526315789473684,1,-0.3099647737898917,0.008691289462149143,1.6287425149700598,0.5,0.005,en
nlu_0277_05,S0277,unseen,"The specialist discussed the documented issue involving P/E during the latest review; after the recent update, the relevant team, before the next decision. The record specifically references price-to-earnings ratio.","The specialist discussed the documented issue involving PE during the latest review, after the recent update, the relevant team before the next decision. The record specifically references price to earnings ratio.",0.20689655172413793,1,-0.2672360511053176,0.0027261790819466114,1.429530201342282,0.5,0.005,en
nlu_0512_03,S0512,unseen,"Please help me plan a trip; this is in the current round of review, the reviewing organization, before the next decision.","Please help me plan a trip. This is in the current round of review, the reviewing organization before the next decision.",0.14285714285714285,1,-0.2594217194451226,0.009476592764258385,1.2121212121212122,0.5,0.005,en
nlu_0401_07,S0401,train,"The latest record focused on the evidence related to sworn statement; at the current stage, the person handling the matter, before the next decision. The discussion also considers witness testimony.","The latest record focused on the evidence related to sworn statement. At the current stage, the person handling the matter before the next decision. The discussion also considers witness testimony.",0.1,1,-0.1626572608947754,0.0032566399313509464,1.437956204379562,0.5,0.005,en
nlu_0188_02,S0188,train,"The team is evaluating levothyroxine in the context of TSH, with particular attention to the reported issue; following the previous discussion, the current reviewer, before the matter is finalized. The record specifically references levothyroxine.","The team is evaluating Levothiric Sign in the context of TSH with particular attention to the reported issue. Following the previous discussion, the current reviewer, before the matter is finalized. The record specifically references Levothiric Sign.",0.20588235294117646,1,-0.2107681621204723,0.0028497809544205666,1.4534883720930232,0.5,0.005,en
nlu_0576_07,S0576,train,"I would like to check a booking; the situation is during the latest review, the responsible specialist, before the next decision.","I would like to check a booking. The situation is during the latest review, the responsible specialist, before the next decision.",0.09523809523809523,1,-0.29729220271110535,0.0030606244690716267,1.2285714285714286,0.5,0.005,en
nlu_0320_04,S0320,train,"A detailed case was requested concerning the implications of confidentiality clause; as part of the current review, the decision-making group, after the latest information was reviewed.","A detailed case was requested concerning the implications of confidentiality clause. As part of the current review, the decision-making group, after the latest information was reviewed.",0.07692307692307693,1,-0.2159596262751399,0.0033968163188546896,1.4015151515151516,0.5,0.005,en
nlu_0376_05,S0376,train,"The specialist discussed the documented issue involving termination right during the latest assessment; at the next decision point, the assigned professional, before the next decision. The record specifically references termination provision.","The specialist discussed the documented issue involving termination right during the latest assessment. At the next decision point, the assigned professional before the next decision. The record specifically references termination provision.",0.0967741935483871,1,-0.251565002259754,0.00416181143373251,1.596026490066225,0.5,0.005,en
nlu_0563_06,S0563,train,"I am trying to ask about a delivery, and this is as part of the current review, the person handling the matter, during the present round of discussion.","I am trying to ask about a delivery, and this is as part of the current review, the person handling the matter during the present round of discussion.",0.03571428571428571,1,-0.1924924149232752,0.004663418047130108,1.3274336283185841,0.5,0.005,en
nlu_0490_05,S0490,validation,"The specialist discussed the documented issue involving attention during the latest incident; at the current stage, the assigned professional, before the next decision. The record specifically references transformer model.","The specialist discussed the documented issue involving attention during the latest incident. At the current stage, the assigned professional before the next decision. The record specifically references transformer model.",0.10344827586206896,1,-0.2850308418273926,0.0031886210199445486,1.4635761589403973,0.5,0.005,en
nlu_0411_03,S0411,unseen,"The current available evidence requires further account, especially in relation to the relationship between motion to dismiss and complaint; at the current stage, the relevant team, during the present round of discussion. The discussion also considers complaint.","The current available evidence requires further account, especially in relation to the relationship between motion to dismiss and complaint. At the current stage, the relevant team during the present round of discussion. The discussion also considers complaint.",0.08108108108108109,1,-0.2723298948638293,0.008103759028017521,1.5914634146341464,0.5,0.005,en
nlu_0127_02,S0127,unseen,"The team is evaluating neuropathy in the context of sensory deficit, with particular attention to the reported issue; at the current stage, the case team, after the latest information was reviewed. The record specifically references neuropathy.","The team is evaluating neuropathy in the context of sensory deficit, with particular attention to the reported issue. At the current stage, the case team after the latest information was reviewed. The record specifically references neuropathy.",0.08333333333333333,1,-0.3065521430969238,0.0023368727415800095,1.5,0.5,0.005,en
nlu_0234_09,S0234,unseen,"The professional handling the matter is reviewing the effect of loan delinquency on the overall situation and the associated observed changes; following the previous discussion, the relevant team, before the next decision.","The professional handling the matter is reviewing the effect of loan delinquency on the overall situation, and the associated observed changes. Following the previous discussion, the relevant team before the next decision.",0.125,1,-0.20232129096984863,0.007600035984069109,1.4799999999999998,0.5,0.005,en
nlu_0009_05,S0009,train,"The specialist discussed the documented issue involving atrial fibrillation during the latest account; during the ongoing evaluation, the reviewing organization, after the latest information was reviewed. The record specifically references irregularly irregular rhythm.","The specialist discussed the documented issue involving atrial fibrillation during the latest account. During the ongoing evaluation, the reviewing organization, after the latest information was reviewed. The record specifically references irregularly irregular rhythm.",0.06060606060606061,1,-0.138537056592046,0.0054232655093073845,1.6107784431137724,0.5,0.005,en
nlu_0383_02,S0383,validation,"The team is evaluating plaintiff in the context of civil action, with particular attention to the reported issue; at the next decision point, the relevant team, after the latest information was reviewed. The record specifically references plaintiff.","The team is evaluating plaintiff in the context of civil action, with particular attention to the reported issue. At the next decision point, the relevant team, after the latest information was reviewed. The record specifically references plaintiff.",0.05405405405405406,1,-0.28885711669921876,0.0034411875531077385,1.509090909090909,0.5,0.005,en
nlu_0266_04,S0266,train,"A detailed adjustment was requested concerning the implications of portfolio allocation; during the most recent assessment, the person handling the matter, while comparing the available options.","A detailed adjustment was requested concerning the implications of portfolio allocation. During the most recent assessment, the person handling the matter while comparing the available options.",0.11538461538461539,1,-0.15450668334960938,0.0022022498305886984,1.4511278195488722,0.5,0.005,en
nlu_0555_06,S0555,train,"I am trying to ask for opening hours, and this is as part of the current review, the relevant team, before the next decision.","I am trying to ask for opening hours, and this is as part of the current review, the relevant team, before the next decision.",0.0,0,-0.19029280447190808,0.006199550814926624,1.2376237623762376,0.5,0.005,en
nlu_0275_07,S0275,unseen,"The latest review focused on the evidence related to enterprise value; after the latest information became available, the case team, while comparing the available options. The discussion also considers discounted cash flow.","the latest review focused on the evidence related to enterprise value. After the latest information became available, the case team, while comparing the available options. The discussion also considers discounted cash flow.",0.09375,1,-0.2975835178209388,0.0030110524967312813,1.4966442953020134,0.5,0.005,en
nlu_0286_09,S0286,train,"The professional handling the matter is reviewing the effect of realized return on the overall situation and the associated observed changes; during the most recent assessment, the reviewing group, before the matter is finalized.","The professional handling the matter is reviewing the effect of realized return on the overall situation and the associated observed changes. During the most recent assessment, the reviewing group before the matter is finalized.",0.08823529411764706,1,-0.1539350123632522,0.006335122976452112,1.5616438356164384,0.5,0.005,en
nlu_0100_07,S0100,unseen,"The latest exposure focused on the evidence related to EEG; at the next decision point, the reviewing group, before the next decision. The discussion also considers seizure activity.","the latest exposure focused on the evidence related to EEG. At the next decision point, the reviewing group before the next decision. The discussion also considers seizure activity.",0.14285714285714285,1,-0.2945864017193134,0.003604065626859665,1.392307692307692,0.5,0.005,en
nlu_0023_09,S0023,train,"The professional handling the matter is reviewing the effect of coronary stenosis on the overall situation and the associated observed changes; as part of the current review, the case team, while comparing the available options.","The professional handling the matter is reviewing the effect of coronary stenosis on the overall situation and the associated observed changes. As part of the current review, the case team, while comparing the available options.",0.05714285714285714,1,-0.13153307172987197,0.006169190630316734,1.509933774834437,0.5,0.005,en
nlu_0327_05,S0327,train,"The specialist discussed the documented issue involving contract performance during the latest screening; at the current stage, the current reviewer, while considering the current evidence. The record specifically references force majeure.","The specialist discussed the documented issue involving contract performance during the latest screening. At the current stage, the current reviewer, while considering the current evidence. The record specifically references Force Majira.",0.12903225806451613,1,-0.2351841709830544,0.003641284303739667,1.4875,0.5,0.005,en
