class,frequency,representative_transcripts
BUSINESS_OPERATIONS_AND_HEALTH,202,"be minimal just delays coming from it. Thanks a lot. I appreciate your time. Thank you. Thank you, Mark. | which includes brackets, bands, tubes, and wires. The traditional orthodontic business is a component of the technology and equipment segment, | specific angle on what makes it better. Where do you think that ShareSmile will shake out as what makes it better or the best or what x-ray can offer as differentiates than everyone else? | get into the systems themselves remotely and operate the way we need to operate. Every once in a while you hear about a week delay here or there, but that's | so they don't have the scale and they don't have the flexibility that a fabulous company like Sightime, which uses semiconductors, can get. I mean, as a reminder, | while precision and science technology is performing considerably better with positive year-over-year orders performance thus far as a result of continuous strength in medical pumps. | even talking about that anymore, but there was a pretty significant disruption over the last year of Section 301 tariffs. The rules for upholstery and mattress fabrics are quite different. So the reason | I think in Tier 2s and Tier 3s on a year-over-year basis, we've done good. I think the issue that we had last year was predominantly | What are you seeing with your important customers down there? Um... | around how people, whether it's adjusting waiting room or how they're addressing infection protocols. So we see that group as pretty positive. | especially as we resumed operations at the end of the third quarter following an extended government-mandated shutdown in China associated with the coronavirus outbreak. | the importance of good connectivity. Same thing in the Tier 2s. I think the Tier 2s are finally getting better | the way I mentioned we had a distribution partner that was actually a top 10% customer that is not typical I do believe that | reviews, and also to be downgrading competitors with fake reviews, which we have found instances of all those things. And we have reported on | I would say less than 15% of the time we get designed in for supply chain reasons. But those supply chain reasons are important"
BUSINESS_STRATEGY_AND_PROJECT_PLANNING,256,"A factory shutdown is causing a major production shortfall and threatening current orders. I need prompt assistance because the situation is becoming serious. | for exiting the traditional orthodontics business as well as parts of our analog lab business. I will discuss details later in the call. The | and in vivo models. We plan to update on the ADX1612 COVID program by the end of 2020. | where we are working in the channel to connect with them, I think that's a good initiative for Sightam as well. So I think those are some ways that we think about it. | of this is allowing us to accelerate the creation of a single culture across Ingersoll Run. Turning to slide 7, I would like to bring | in Timing Solution. We remain a results-driven company with a culture that encourages creativity, leadership, and a strong commitment to our customers | A factory shutdown is causing a major production shortfall and threatening current orders. Please escalate this immediately because the risk is now critical. | be more tier ones to kind of spread the fluctuations around within. But having said that, we're also adding more tier ones. | Moving forward to the second half of the year, as we announced today, we are accelerating actions to fund growth areas and improve | and we're seeing good traction there. So as we look going forward, we didn't feel that there were going to be dis-synergies associated with getting out of traditional | to Saitam continue to drive the company's expansion into the communications market. Our products continue to see solid design traction in 5G applications | A critical factory shutdown is causing a major production shortfall and threatening this quarter's commitments. I need immediate escalation because waiting could cause serious harm. | A factory shutdown is causing a major production shortfall and threatening current orders. I need prompt assistance because the situation is becoming serious. | A critical technology project has failed and could cause a large unexpected financial loss. Please escalate this now | close to 30. You know, how do I think about decrementals with high-pressure solutions, you know, the order's down 80 percent. Can you hold decrementals there?"
COMMUNICATION_EMAIL_CALL_AND_CONTACTS,161,"send email to boss not feeling well taking a sick day | tweet bad service related to out local haskell mcdonalds | save new email addresses to my contacts | one on your telephone keypad. We will pause for a moment to compile the Q&A roster. Your first question comes from the line of Rich Valera of Nido. | i did not want you to send that text yet wait until i say send | our equipment. Again, press star 1 to ask a question. We'll pause for just a moment to allow everyone an opportunity to signal for questions. | tweet the president and tell him he's doing a horrible job | It is now my pleasure to turn the call over to Tom Stanton, Chief Executive Officer of that trip. Sir, please go ahead. Thank you, Ian. | tweet the president and tell him he's doing a horrible job | include this item | Thank you and good morning everyone. On the call with me are Dr. Todd Brady, Aldera's President and Chief Executive Officer, and David McMullen, our Chief Commercial Officer. | check email today | that against change. Great. Thank you so much. Thanks, Trevor. Thank you. And with that, we conclude our discussion. | So with that, I'd like to turn the call back to the operator for Q&A. | Thank you. Good morning and welcome to the CULT conference call to review the"
FINANCIAL_OPERATIONS_RISK_AND_COMPLIANCE,346,"of legacy fixed interest rate swaps will expire by September of 2020. Even though we feel our level of liquidity is proper, we're evaluating | travel expenses offset by increases in summer structuring-related costs. The year-over-year decreases in operating expenses | A regulatory decision could immediately suspend a major healthcare revenue stream. Please treat this as a high priority and advise as soon as possible. | A critical compliance failure could prevent our healthcare business from operating normally. Please treat this as a high-priority issue and advise on the next immediate step. | Our payment system has stopped processing transactions and customers cannot access their funds. Waiting could cause serious harm, so this needs immediate attention. | Non-GAAP operating income for quarter three of 2020 was $9.9 million compared to an operating income | So that's helpful, Vicente, and I'm sure you expected us to ask about decremental margin in some way. So let me just ask it like this. Obviously, you know, good result in Q1, of course. | At the time of the merger, we took the opportunity to reprise our legacy debt by placing the new $1.9 billion term loan to close this transaction. All of our debt is a term | Our payment platform has stopped processing transactions and customers are unable to access their funds. Do not treat this as a routine issue | We detected a potentially fraudulent transfer involving a major corporate account. Please escalate this immediately because the risk is now critical. | A serious governance issue has emerged involving a major healthcare contract. I need emergency-level assistance right now. | We detected a potentially fraudulent transfer involving a major corporate account. I need prompt assistance because the situation is becoming serious. | I think it was absolutely the right thing to raise more liquidity, to be in a position of a strength from a financial standpoint. | Our payment system has stopped processing transactions and customers cannot access their funds. I need an urgent assessment and guidance on the next step. | And we've been managing cash, you know, from..."
FINANCIAL_PERFORMANCE_AND_SEGMENT_ANALYSIS,379,"This was the segment most impacted by the global slowdown in Q2, but it came back strong in Q3. Sales were 20.9%. | which was above our updated guidance range of 31 to 32 million. Our results demonstrate the diversity of our ANMAR | grew 53% from 10.1 million in Q3 2019 to 15.4 million in Q3 2020. The growth | staying highly active with demand generation activities and pricing controls, where we continue to demonstrate discipline in price, generating over 1% in the quarter. While these markets | In a large part, it's due to first the new products we pushed out, but also the change in messaging and how we're pitching these products. So ultimately, and, you know, look, we're working with our dealer partners. | annual consolidated taxable income, particularly in the U.S., which includes the income tax effects of the asset impairment charges previously discussed, | An unexpected loss in a major business segment is putting our quarterly financial target at serious risk. Do not treat this as a routine issue | into June 30, 2020, compared with $3.1 million for the same period in 2019. The decrease of $900,000 is due to lower personnel | An unexpected loss in a major business segment threatens our quarterly target. Please escalate this immediately because the risk is now critical. | same time using it as a leading indicator for aftermarket activity, which is approximately 50% of the compressor business today. For original equipment, we're using the | An unexpected loss in a major business segment threatens our quarterly target. This cannot wait for a normal review | perspective. I'll just do a quick comparison and you can see that medical we were able to, you know, not only just a few years ago that medical business wasn't at 25, 26 percent | in the second quarter. On slide 13, we show our cash flow performance. In the second quarter of 2020, | compared with net income of $3.2 million or $0.25 per diluted share for the prior year period. The results of the third quarter of both fiscal years include the respect | An unexpected loss in a major business segment threatens our quarterly target. Please escalate this immediately because the risk is now critical."
FINANCIAL_REPORTING_AND_OUTLOOK,379,"There have been some anecdotal events in the last few months, and in the continuing, we expect to see that. It's just a... | So that was kind of what happened in the third quarter. In the fourth quarter, we're seeing very strong revenue growth. As I mentioned, our guidance is that revenue | Our cash position has deteriorated sharply and we may not have enough liquidity to meet near-term obligations. Please treat this as a high-priority issue and advise on the next immediate step. | And not surprisingly, the high pressure solution segment is down as the market resets for what will likely be a prolonged downturn that we expect will | for the quarter ended June 30, 2020 and the company's filings with the SEC. And with that, I'll turn the call over to Dr. Todd Brady, our president, | and the vision to lead this business as we strive to operate our strong platform in the most efficient manner. Looking ahead, there are many opportunities to advance our position | A sudden working-capital shortfall could prevent us from paying critical suppliers on time. The condition is deteriorating rapidly and there is no time for a routine response. | in 2021, does it be in the range of 35 to 50 percent? However, let me stress that there are a lot of moving parts that affect this rate, including the | A sudden working-capital shortfall could prevent us from paying critical suppliers. This requires the fastest possible response. | position moving forward when compared to current order trends and coupled with our current liquidity position. Turning to slide 20 for some concluding remarks, | A sudden working-capital shortfall could prevent us from paying critical suppliers. The situation is worsening and needs immediate attention. | and $59.4 million in quarter three of 2019. Both the non-GAAP quarter of a quarter came | We gave you guys the numbers based on the worst-case scenario, and obviously we're going to work to improve that. But again, the | privately negotiated transactions. We will continue to consider opportunities to repurchase shares at a price that reflects a discount to our calculated intrinsic value per share. | Our cash position has fallen sharply and we may not meet near-term obligations. I need emergency-level assistance right now."
GENERAL_ASSISTANCE_AND_QA,214,"ortho, it's kind of the bracket spans that would go straight up on an orthodontist using orthodontia. The | what is immigrant | Yes. | define and describe an ultraviolet ray | i would like if will be smart and intelligent in way it will be familiar with me and recognise the way i like the result will be | answer this mathematical question | Thank you. Our next question is from Elizabeth Anderson with Evercore. Please go ahead. Hi. Good morning, guys. I was just wondering if we – | Thank you. We have your next question from Tor Van Berg from Stifel. Your line is open. | So thank you very much for joining us today. I appreciate your interest, and we look forward to the call next quarter. | how is the news media reacting to trump's potential ties with russia | olly how many rivers are there in europe | today's news cnn | i would like to know the meaning of word | Yeah, in part. And last one for me is, you know, as you think about your | is one divisible by three"
MARKET_AND_COMPETITIVE_OUTLOOK,152,"Are you suggesting that those other products areas outside of vacuum and blowers were substantially | A major competitor has taken substantial market share and customer losses are accelerating. I need emergency-level assistance right now. | perturbations are new. They've been going on for a long time, but customers did not have an alternative. Now that they do have an alternative, it just becomes one more fashion | are those Tier 1s comparing to the growth rate within the Tier 3s. I have no doubt we'll be more diverse, but we're adding Tier 1s at a nice clip as well. | A major competitor has taken substantial market share and customer losses are accelerating. Please escalate this quickly because the risk is increasing. | A major competitor has taken substantial market share and customer losses are accelerating. Please escalate this quickly because the risk is increasing. | one of the reasons we have that capital. We want to keep investing in the organic growth of the company for the time being. Okay. Thank you very much. | I know you don't want to give any specific guidance, but just kind of eyeballing the street consensus estimates for the third quarter. They call for revenues | across both the orthodontic as well as the GP channel. We think we've got more innate advantages in the GP channel right now. | we feel with 7.6, you know, we're now able to compete across a broad portfolio, get class one, class two, class three. We think that our treatment planning, | A major competitor has unexpectedly taken a large share of our market and our customer losses are accelerating. This is an emergency and I need the fastest possible response. | A major competitor has unexpectedly taken a large share of our market and our customer losses are accelerating. I need an urgent assessment rather than a routine response. | This is the company's latest annual report on Form 10 . Identif assumes no obligation to update these forward-looking statements, which speak as of today. | we feel that we're very competitive in the imaging space. And, you know, now in terms of what do we think about the macro demand for imaging equipment, | I would say that now, as kind of the comment that I made before, we see kind of these lower demand level kind of getting more stabilized."
MEDIA_ENTERTAINMENT_AND_UTILITY,271,hey start vacuum cleaner robot | say something funny | play the jazz station | play music now | it's awfully dark here | are there any special events in my town | initiate to operate robot vacuum cleaner | how many cups of sugar in texas sheet cake frosting | olly recommend a blue grass band event within twenty miles of manchester ma this week | sound off please | what ingredients do i need for tomato soup | dim the lights down a bit | olly what is the best tasting cut of beef | change your colors to something different | play for me the music by michael jackson
MEDICAL_ADVICE_AND_TREATMENT,345,"Hello, I have bilateral pelty ureteric junction obstruction. My right kidney was operated on almost three years ago. After every six to eight months, I undergo a diethyl and atriumine pentaacetate renal scan to check the functioning of my kidneys. However, it is continuously decreasing, and now the split function of my kidneys is 37% for the right kidney and 63% for the left kidney. What do you suggest I do now? | Hello, I had my in vitro fertilization embryo transplant on Wednesday, March 23, 2011. When should I expect to receive a positive pregnancy result? My last period was on February 27, 2011. If my embryo transplant did not occur, should I have had my period by now or something else? | I took the wrong medication and now I am becoming extremely drowsy and confused. This cannot wait for a routine appointment or review | Please do not worry, everything will be fine with your physiotherapy. Additionally, take a good ointment for pain relief. A hot compress will also be helpful. | My child is having a seizure that has continued for several minutes. The situation is deteriorating rapidly and cannot wait. | My child is having a seizure that has continued for several minutes. The situation is deteriorating rapidly and cannot wait. | I inhaled chemical fumes and now have chest tightness and worsening breathing. Please treat this as critical and respond without delay. | I took the wrong medication and now I am becoming extremely drowsy and confused. This is an emergency and I need the fastest possible response. | Hello, doctor. I use a combined contraception pill. In this cycle, I forgot to take the 8th and the 13th. I further forgot the 15th but took it in the morning, and on the same day at the correct time I took the 16th. On the 14th I had unprotected intercourse. Should I take the pill afterwards or wait? In the case of pregnancy, do I have to take the abortion pill? | Hello, I am trying to get pregnant. My ovulation day was July 7. I had unprotected sexual intercourse on July 3, 4, 6, and 9. I know I will not be able to tell if I am pregnant until I miss a period, but I just want to know what my chances are. I have been experiencing mild cramping here and there, but I noticed them. | My child is having a seizure that has continued for several minutes. This needs urgent review rather than a routine response. | If it is a proven colon cancer after a biopsy, yes, there is a chance of it spreading to other parts. For example, the liver is the most common organ where it can spread. You can get a simple ultrasound to know it. Goodbye. | First, check your thyroid level, prolactin, and sugar level. You had an abortion. First, find the cause and treat that. You should take a three-month gap before the next conception. | Hi Doctor, my brother-in-law has had oral cancer for the past few years. We have operated twice and now we have found that the cancer will form again in his throat. Is there any possibility of complete recovery for him? Moreover, we need to know more about whether stem cell treatment will help with this kind of cancer treatment. | My child is having a seizure that has continued for several minutes. The situation is worsening and needs immediate attention."
