sample_id,scenario_id,split,domain_label,ground_truth,target_terms,target_term_count,targets_found,targets_corrupted,corrupted_target_terms,target_start_end_count,selected_snr_db,clean_whisper_transcript,corrupted_whisper_transcript,clean_WER,corrupted_WER,domain_term_WER,domain_term_TP,domain_term_FP,domain_term_FN,domain_term_precision,domain_term_recall,temperature,beam_size,best_of,language
nlu_0179_03,S0179,train,medical,"The current available evidence requires further review, especially in relation to the relationship between atorvastatin and statin; during the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers statin.",atorvastatin; statin,2,2,1,atorvastatin,2,6.0,"The current available evidence requires further review, especially in relation to the relationship between Ador Vastatin and Statin. During the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers Statin.","The current available evidence requires further review, especially in relation to the relationship between Adorvastitin and Statin. During the most recent assessment, the reviewing group, while considering the current evidence. The discussion also considers Statin.",0.14285714285714285,0.11428571428571428,0.5,1,0,0,1.0,1.0,0.0,,,en
nlu_0392_08,S0392,train,legal,"The case involves the reported concern involving defendant, and the relevant relevant records is being assessed; as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.",defendant,1,1,0,,1,,"The case involves the reported concern involving defendant, and the relevant, relevant records is being assessed, as part of the current review, the technical or professional team, while comparing the available options. The record specifically references defendant.",,0.05405405405405406,,1.0,0,0,1,0.0,0.0,0.0,,,en
nlu_0023_02,S0023,train,medical,"The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue; as part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.",coronary artery disease; atherosclerotic,2,2,0,,2,,"The team is evaluating coronary artery disease in the context of atherosclerotic plaque, with particular attention to the reported issue. As part of the current review, the case team, while comparing the available options. The record specifically references coronary artery disease.",,0.04878048780487805,,1.0,0,0,2,0.0,0.0,0.0,,,en
nlu_0214_06,S0214,train,finance,"The available evidence was considered before deciding how to address the current status of mortgage underwriting; at the current stage, the responsible specialist, while considering the current evidence.",mortgage underwriting,1,1,0,,1,,"The available evidence was considered before deciding how to address the current status of mortgage underwriting. At the current stage, the responsible specialist, while considering the current evidence.",,0.07142857142857142,,1.0,0,0,1,0.0,0.0,0.0,,,en
nlu_0117_09,S0117,train,medical,"The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes; during the latest review, the assigned professional, during the present round of discussion.",demyelinating; lesion,2,2,2,demyelinating; lesion,2,0.0,"The professional handling the matter is reviewing the effect of demyelinating lesion on the overall situation and the associated observed changes. During the latest review, the assigned professional during the present round of discussion.","The professional handling the matter is reviewing the effect of denierinating region on the overall situation and the associated observed changes. During the latest review, the assigned professional during the present round of discussion.",0.08823529411764706,0.14705882352941177,1.0,0,0,2,0.0,0.0,0.0,,,en
nlu_0088_10,S0088,train,medical,"Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction; during the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.",cerebral infarction; diffusion,2,2,1,cerebral infarction,2,0.0,"Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction. During the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references cerebral infarction.","Further authorization is needed before a final decision is made about the decision surrounding diffusion restriction. During the most recent assessment, the decision-making group, while considering the current evidence. The record specifically references to legal infarction.",0.05714285714285714,0.11428571428571428,0.3333333333333333,1,0,1,1.0,0.5,0.0,,,en
nlu_0016_07,S0016,train,medical,"The latest analysis focused on the evidence related to ventricular response; following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.",atrial fibrillation; ventricular,2,2,0,,2,,"The latest analysis focused on the evidence related to ventricular response, following the previous discussion, the responsible specialist, after the latest information was reviewed. The discussion also considers atrial fibrillation.",,0.03333333333333333,,1.0,0,0,2,0.0,0.0,0.0,,,en
nlu_0166_08,S0166,validation,medical,"The case involves the reported concern involving warfarin, and the relevant relevant records is being assessed; after the latest information became available, the current reviewer, while comparing the available options. The record specifically references warfarin.",warfarin,1,1,0,,1,,"The case involves the reported concern involving Warfarin, and the relevant relevant records is being assessed. After the latest information became available, the current reviewer, while comparing the available options. The record specifically references Warfarin.",,0.11428571428571428,,1.0,0,0,1,0.0,0.0,0.0,,,en
nlu_0033_04,S0033,unseen,medical,"A detailed validation was requested concerning the implications of troponin; as part of the current review, the relevant team, during the present round of discussion.",troponin,1,1,1,troponin,1,3.0,"A detailed validation was requested concerning the implications of Tropynon. As part of the current review, the relevant team during the present round of discussion.","A detailed validation was requested concerning the implications of Troppmann. As part of the current review, the relevant team during the present round of discussion.",0.12,0.12,1.0,0,0,0,0.0,0.0,0.0,,,en
nlu_0262_02,S0262,train,finance,"The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue; as part of the current review, the reviewing organization, while considering the current evidence. The record specifically references portfolio allocation.",portfolio allocation; weights,2,2,1,weights,2,6.0,"The team is evaluating portfolio allocation in the context of asset weights, with particular attention to the reported issue. As part of the current review, the reviewing organization, while considering the current evidence. The record specifically references portfolio allocation.","The team is evaluating portfolio allocation in the context of asset rates, with particular attention to the reported issue. As part of the current review, the reviewing organization, while considering the current evidence. The record specifically references portfolio allocation.",0.05128205128205128,0.07692307692307693,0.3333333333333333,1,0,1,1.0,0.5,0.0,,,en
